country|date|pid|rank|week
TPE|7/20/2017|61427|1|13938
JPN|7/20/2017|96312|2|13938
KOR|7/20/2017|76594|3|13938
ESP|7/20/2017|18228|4|13938
IND|7/20/2017|73173|5|13938
CHN|7/20/2017|92736|6|13938
CHN|7/20/2017|87434|7|13938
JPN|7/20/2017|96713|8|13938
THA|7/20/2017|35642|9|13938
USA|7/20/2017|53806|10|13938
CHN|7/20/2017|78778|11|13938
THA|7/20/2017|58271|12|13938
JPN|7/20/2017|77317|13|13938
THA|7/20/2017|57971|14|13938
IND|7/20/2017|52748|15|13938
HKG|7/20/2017|87709|16|13938
JPN|7/20/2017|95189|17|13938
JPN|7/20/2017|66644|18|13938
CHN|7/20/2017|58637|19|13938
THA|7/20/2017|84062|20|13938
INA|7/20/2017|96892|21|13938
ESP|7/20/2017|95780|22|13938
MAS|7/20/2017|18143|23|13938
TPE|7/20/2017|74561|24|13938
TPE|7/20/2017|76717|25|13938
TPE|7/20/2017|61427|1|13938
JPN|7/20/2017|96312|2|13938
KOR|7/20/2017|76594|3|13938
ESP|7/20/2017|18228|4|13938
IND|7/20/2017|73173|5|13938
CHN|7/20/2017|92736|6|13938
CHN|7/20/2017|87434|7|13938
JPN|7/20/2017|96713|8|13938
THA|7/20/2017|35642|9|13938
USA|7/20/2017|53806|10|13938
CHN|7/20/2017|78778|11|13938
THA|7/20/2017|58271|12|13938
JPN|7/20/2017|77317|13|13938
THA|7/20/2017|57971|14|13938
IND|7/20/2017|52748|15|13938
HKG|7/20/2017|87709|16|13938
JPN|7/20/2017|95189|17|13938
JPN|7/20/2017|66644|18|13938
CHN|7/20/2017|58637|19|13938
THA|7/20/2017|84062|20|13938
INA|7/20/2017|96892|21|13938
ESP|7/20/2017|95780|22|13938
MAS|7/20/2017|18143|23|13938
TPE|7/20/2017|74561|24|13938
TPE|7/20/2017|76717|25|13938
MAS|7/20/2017|69012|26|13938
TPE|7/20/2017|27588|27|13938
JPN|7/20/2017|34890|28|13938
DEN|7/20/2017|43761|29|13938
BUL|7/20/2017|15105|30|13938
SGP|7/20/2017|47646|31|13938
SUI|7/20/2017|54068|32|13938
DEN|7/20/2017|63437|33|13938
HKG|7/20/2017|51649|34|13938
KOR|7/20/2017|84992|35|13938
JPN|7/20/2017|69082|36|13938
SCO|7/20/2017|48528|37|13938
RUS|7/20/2017|92400|38|13938
INA|7/20/2017|97207|39|13938
JPN|7/20/2017|61568|40|13938
DEN|7/20/2017|78534|41|13938
KOR|7/20/2017|91598|42|13938
DEN|7/20/2017|91224|43|13938
INA|7/20/2017|61665|44|13938
VIE|7/20/2017|71455|45|13938
SGP|7/20/2017|83822|46|13938
IND|7/20/2017|67864|47|13938
THA|7/20/2017|54511|48|13938
GER|7/20/2017|21854|49|13938
MAS|7/20/2017|64889|50|13938
ISR|7/20/2017|67069|51|13938
FIN|7/20/2017|55770|52|13938
TPE|7/20/2017|71673|53|13938
RUS|7/20/2017|78605|54|13938
INA|7/20/2017|83802|55|13938
INA|7/20/2017|64558|56|13938
JPN|7/20/2017|81880|57|13938
DEN|7/20/2017|82707|58|13938
CAN|7/20/2017|84523|59|13938
TPE|7/20/2017|88807|60|13938
CAN|7/20/2017|95664|61|13938
CHN|7/20/2017|58720|62|13938
UKR|7/20/2017|76349|63|13938
JPN|7/20/2017|91896|64|13938
INA|7/20/2017|67996|65|13938
VIE|7/20/2017|75678|66|13938
KOR|7/20/2017|60908|67|13938
FIN|7/20/2017|42731|68|13938
ENG|7/20/2017|55536|69|13938
TPE|7/20/2017|99925|70|13938
GER|7/20/2017|67857|71|13938
MAS|7/20/2017|62867|72|13938
MRI|7/20/2017|42679|73|13938
IND|7/20/2017|88809|74|13938
ESP|7/20/2017|74218|75|13938
DEN|7/20/2017|70371|76|13938
SGP|7/20/2017|81033|77|13938
IND|7/20/2017|69619|78|13938
IND|7/20/2017|66615|79|13938
EGY|7/20/2017|52901|80|13938
FRA|7/20/2017|79056|81|13938
NED|7/20/2017|89454|82|13938
MAS|7/20/2017|87629|83|13938
INA|7/20/2017|81986|84|13938
BUL|7/20/2017|57906|85|13938
DEN|7/20/2017|96276|86|13938
ENG|7/20/2017|50715|87|13938
DEN|7/20/2017|77002|88|13938
CHN|7/20/2017|78116|89|13938
AUS|7/20/2017|40545|90|13938
MAS|7/20/2017|97932|91|13938
KOR|7/20/2017|70930|92|13938
GER|7/20/2017|91106|93|13938
JPN|7/20/2017|43256|94|13938
TPE|7/20/2017|78755|95|13938
JPN|7/20/2017|94712|96|13938
INA|7/20/2017|74525|97|13938
EGY|7/20/2017|94632|98|13938
IND|7/20/2017|93187|99|13938
UKR|7/20/2017|76910|100|13938
CHN|7/20/2017|92967|101|13938
IND|7/20/2017|56471|102|13938
CHN|7/20/2017|89700|103|13938
BEL|7/20/2017|55318|104|13938
IND|7/20/2017|59536|105|13938
INA|7/20/2017|74788|106|13938
INA|7/20/2017|93338|107|13938
JPN|7/20/2017|77278|108|13938
INA|7/20/2017|66963|109|13938
BLR|7/20/2017|52294|110|13938
SVK|7/20/2017|75188|111|13938
EST|7/20/2017|86222|112|13938
CAN|7/20/2017|97087|113|13938
HUN|7/20/2017|74051|114|13938
JPN|7/20/2017|65751|115|13938
ZAM|7/20/2017|51665|116|13938
CZE|7/20/2017|81794|117|13938
KOR|7/20/2017|95820|118|13938
INA|7/20/2017|70481|119|13938
ENG|7/20/2017|87660|120|13938
INA|7/20/2017|55717|121|13938
KOR|7/20/2017|81749|122|13938
SUI|7/20/2017|81056|123|13938
GER|7/20/2017|15323|124|13938
TPE|7/20/2017|87176|125|13938
USA|7/20/2017|52771|126|13938
SUI|7/20/2017|92691|127|13938
THA|7/20/2017|62301|128|13938
DOM|7/20/2017|71061|129|13938
MAS|7/20/2017|53153|130|13938
EGY|7/20/2017|61746|131|13938
CZE|7/20/2017|34229|132|13938
AUS|7/20/2017|64389|133|13938
GER|7/20/2017|85730|134|13938
AUT|7/20/2017|85440|135|13938
JPN|7/20/2017|53392|136|13938
WAL|7/20/2017|94806|137|13938
RUS|7/20/2017|67073|138|13938
EST|7/20/2017|73015|139|13938
MAS|7/20/2017|92014|140|13938
SUI|7/20/2017|74309|141|13938
TUR|7/20/2017|87885|142|13938
JPN|7/20/2017|97921|143|13938
IND|7/20/2017|59370|144|13938
JPN|7/20/2017|56834|145|13938
ENG|7/20/2017|79055|146|13938
IND|7/20/2017|21036|147|13938
IRL|7/20/2017|80889|148|13938
THA|7/20/2017|87513|149|13938
CHN|7/20/2017|76601|150|13938
CZE|7/20/2017|51739|151|13938
TUR|7/20/2017|94762|152|13938
ITA|7/20/2017|95837|153|13938
MAS|7/20/2017|75832|154|13938
DEN|7/20/2017|70495|155|13938
DEN|7/20/2017|1279|156|13938
KOR|7/20/2017|57813|157|13938
BRA|7/20/2017|52908|158|13938
AUS|7/20/2017|57665|159|13938
FRA|7/20/2017|55629|160|13938
FRA|7/20/2017|82409|161|13938
FRA|7/20/2017|89836|162|13938
WAL|7/20/2017|16875|163|13938
LTU|7/20/2017|53814|164|13938
TPE|7/20/2017|80795|165|13938
IND|7/20/2017|67630|166|13938
CHN|7/20/2017|64643|167|13938
MEX|7/20/2017|61244|168|13938
RUS|7/20/2017|64352|169|13938
DEN|7/20/2017|76370|170|13938
GUA|7/20/2017|17774|171|13938
DOM|7/20/2017|72946|172|13938
DEN|7/20/2017|44738|173|13938
UKR|7/20/2017|64424|174|13938
IND|7/20/2017|87945|175|13938
MAS|7/20/2017|63369|176|13938
THA|7/20/2017|91422|177|13938
CHN|7/20/2017|78837|178|13938
THA|7/20/2017|71801|179|13938
BEL|7/20/2017|65846|180|13938
RUS|7/20/2017|73195|181|13938
IND|7/20/2017|75410|182|13938
RUS|7/20/2017|36996|182|13938
IRI|7/20/2017|45380|184|13938
USA|7/20/2017|59692|185|13938
BLR|7/20/2017|63639|186|13938
RUS|7/20/2017|8558|187|13938
IND|7/20/2017|56940|188|13938
INA|7/20/2017|86412|189|13938
HKG|7/20/2017|70188|190|13938
NEP|7/20/2017|78543|191|13938
ENG|7/20/2017|60814|192|13938
THA|7/20/2017|83013|193|13938
IND|7/20/2017|83856|194|13938
PER|7/20/2017|71252|195|13938
IRL|7/20/2017|73274|196|13938
ZAM|7/20/2017|55777|197|13938
INA|7/20/2017|78068|198|13938
CZE|7/20/2017|60397|199|13938
