country|date|pid|rank|week
ESP|7/28/2016|18228|1|11602
CHN|7/28/2016|53938|2|11602
CHN|7/28/2016|64643|3|11602
THA|7/28/2016|35642|4|11602
IND|7/28/2016|52748|5|11602
JPN|7/28/2016|96713|6|11602
KOR|7/28/2016|76594|7|11602
TPE|7/28/2016|61427|8|11602
CHN|7/28/2016|83064|9|11602
IND|7/28/2016|73173|10|11602
CHN|7/28/2016|92736|11|11602
JPN|7/28/2016|96312|12|11602
CHN|7/28/2016|87434|13|11602
JPN|7/28/2016|77317|14|11602
SCO|7/28/2016|48528|15|11602
THA|7/28/2016|54511|16|11602
KOR|7/28/2016|22455|17|11602
THA|7/28/2016|58271|18|11602
JPN|7/28/2016|66644|19|11602
CAN|7/28/2016|84523|20|11602
THA|7/28/2016|57971|21|11602
JPN|7/28/2016|43256|22|11602
TPE|7/28/2016|99925|23|11602
DEN|7/28/2016|63437|24|11602
INA|7/28/2016|96130|25|11602
ESP|7/28/2016|18228|1|11602
CHN|7/28/2016|53938|2|11602
CHN|7/28/2016|64643|3|11602
THA|7/28/2016|35642|4|11602
IND|7/28/2016|52748|5|11602
JPN|7/28/2016|96713|6|11602
KOR|7/28/2016|76594|7|11602
TPE|7/28/2016|61427|8|11602
CHN|7/28/2016|83064|9|11602
IND|7/28/2016|73173|10|11602
CHN|7/28/2016|92736|11|11602
JPN|7/28/2016|96312|12|11602
CHN|7/28/2016|87434|13|11602
JPN|7/28/2016|77317|14|11602
SCO|7/28/2016|48528|15|11602
THA|7/28/2016|54511|16|11602
KOR|7/28/2016|22455|17|11602
THA|7/28/2016|58271|18|11602
JPN|7/28/2016|66644|19|11602
CAN|7/28/2016|84523|20|11602
THA|7/28/2016|57971|21|11602
JPN|7/28/2016|43256|22|11602
TPE|7/28/2016|99925|23|11602
DEN|7/28/2016|63437|24|11602
INA|7/28/2016|96130|25|11602
INA|7/28/2016|66974|26|11602
USA|7/28/2016|53806|27|11602
GER|7/28/2016|51204|28|11602
MAS|7/28/2016|53153|29|11602
TPE|7/28/2016|74561|30|11602
SGP|7/28/2016|47646|31|11602
BUL|7/28/2016|15105|32|11602
GER|7/28/2016|15323|33|11602
HKG|7/28/2016|51649|34|11602
HKG|7/28/2016|87709|35|11602
USA|7/28/2016|57798|36|11602
CHN|7/28/2016|78778|37|11602
CZE|7/28/2016|51739|38|11602
JPN|7/28/2016|69082|39|11602
JPN|7/28/2016|53392|40|11602
KOR|7/28/2016|91598|41|11602
ESP|7/28/2016|95780|42|11602
VIE|7/28/2016|71455|43|11602
DEN|7/28/2016|50331|44|11602
USA|7/28/2016|14621|45|11602
