country|date|pid|rank|week
IND|8/20/2015|52748|1|9558
ESP|8/20/2015|18228|2|9558
TPE|8/20/2015|61427|3|9558
CHN|8/20/2015|64643|4|9558
THA|8/20/2015|35642|5|9558
CHN|8/20/2015|53938|6|9558
CHN|8/20/2015|83064|7|9558
KOR|8/20/2015|76594|8|9558
JPN|8/20/2015|96713|9|9558
JPN|8/20/2015|96312|10|9558
CHN|8/20/2015|92736|11|9558
KOR|8/20/2015|22455|12|9558
CAN|8/20/2015|84523|13|9558
IND|8/20/2015|73173|14|9558
USA|8/20/2015|53806|15|9558
JPN|8/20/2015|34890|16|9558
THA|8/20/2015|58271|17|9558
JPN|8/20/2015|66644|18|9558
JPN|8/20/2015|77317|19|9558
JPN|8/20/2015|43256|20|9558
INA|8/20/2015|66974|21|9558
THA|8/20/2015|54511|22|9558
ESP|8/20/2015|95780|23|9558
INA|8/20/2015|96130|24|9558
HKG|8/20/2015|87709|25|9558
IND|8/20/2015|52748|1|9558
ESP|8/20/2015|18228|2|9558
TPE|8/20/2015|61427|3|9558
CHN|8/20/2015|64643|4|9558
THA|8/20/2015|35642|5|9558
CHN|8/20/2015|53938|6|9558
CHN|8/20/2015|83064|7|9558
KOR|8/20/2015|76594|8|9558
JPN|8/20/2015|96713|9|9558
JPN|8/20/2015|96312|10|9558
CHN|8/20/2015|92736|11|9558
KOR|8/20/2015|22455|12|9558
CAN|8/20/2015|84523|13|9558
IND|8/20/2015|73173|14|9558
USA|8/20/2015|53806|15|9558
JPN|8/20/2015|34890|16|9558
THA|8/20/2015|58271|17|9558
JPN|8/20/2015|66644|18|9558
JPN|8/20/2015|77317|19|9558
JPN|8/20/2015|43256|20|9558
INA|8/20/2015|66974|21|9558
THA|8/20/2015|54511|22|9558
ESP|8/20/2015|95780|23|9558
INA|8/20/2015|96130|24|9558
HKG|8/20/2015|87709|25|9558
TPE|8/20/2015|99925|26|9558
GER|8/20/2015|51204|27|9558
HKG|8/20/2015|51649|28|9558
KOR|8/20/2015|91598|29|9558
USA|8/20/2015|57798|30|9558
TPE|8/20/2015|74561|31|9558
SCO|8/20/2015|48528|32|9558
JPN|8/20/2015|53392|33|9558
BUL|8/20/2015|15105|34|9558
SGP|8/20/2015|54698|35|9558
DEN|8/20/2015|63437|36|9558
USA|8/20/2015|14621|37|9558
THA|8/20/2015|57971|38|9558
IRL|8/20/2015|89666|39|9558
SUI|8/20/2015|54068|40|9558
JPN|8/20/2015|95189|41|9558
CHN|8/20/2015|76908|42|9558
USA|8/20/2015|52771|43|9558
ISR|8/20/2015|67069|44|9558
BUL|8/20/2015|12765|45|9558
FRA|8/20/2015|18998|46|9558
CHN|8/20/2015|14398|47|9558
VIE|8/20/2015|71455|48|9558
TUR|8/20/2015|87885|49|9558
RUS|8/20/2015|78605|50|9558
DEN|8/20/2015|50331|51|9558
INA|8/20/2015|81986|52|9558
TUR|8/20/2015|94762|53|9558
INA|8/20/2015|14710|54|9558
ENG|8/20/2015|55536|55|9558
MAS|8/20/2015|52103|56|9558
CAN|8/20/2015|95664|57|9558
MAS|8/20/2015|53153|58|9558
INA|8/20/2015|97207|59|9558
ITA|8/20/2015|51842|60|9558
UKR|8/20/2015|76349|61|9558
IND|8/20/2015|56471|62|9558
RUS|8/20/2015|92400|63|9558
BEL|8/20/2015|55318|64|9558
CHN|8/20/2015|87434|65|9558
IND|8/20/2015|75410|66|9558
FRA|8/20/2015|79056|67|9558
CZE|8/20/2015|51739|68|9558
DEN|8/20/2015|43761|69|9558
TPE|8/20/2015|92339|70|9558
NED|8/20/2015|93419|71|9558
BRA|8/20/2015|52908|72|9558
