country|pid|rank|week
THA|117997|266|18042
GUA|1468091|267|18042
GUA|1072763|268|18042
ECU|239794|269|18042
IND|1204911|270|18042
TPE|2156040|271|18042
GUA|116574|272|18042
UKR|665633|273|18042
DEN|1966468|274|18042
USA|1735426|275|18042
CHN|1030682|276|18042
NZL|1418500|277|18042
NZL|2537354|277|18042
IND|1731680|279|18042
CAN|1974465|280|18042
INA|657586|281|18042
RSA|1055714|282|18042
CAN|2578446|283|18042
MAS|1586108|284|18042
HUN|2306656|285|18042
HKG|148392|286|18042
MAS|107908|287|18042
INA|1185570|288|18042
CHN|1620419|289|18042
DOM|854649|290|18042
NZL|1248710|291|18042
MAS|370432|292|18042
MEX|1270116|292|18042
INA|1564801|294|18042
CMR|2507396|295|18042
NZL|1058646|296|18042
TUR|276137|297|18042
NED|813555|298|18042
SRI|1176966|299|18042
ISR|814566|300|18042
INA|1115060|301|18042
PER|116530|302|18042
HKG|1000299|303|18042
SRI|401193|304|18042
CUB|1983209|305|18042
JPN|2630892|306|18042
JPN|2901958|306|18042
ZAM|116385|308|18042
MAS|194184|309|18042
UKR|1187590|310|18042
BAR|261766|311|18042
EGY|1476089|311|18042
USA|2294769|313|18042
PAK|1033363|314|18042
USA|1165399|315|18042
POL|1026598|316|18042
JPN|118639|317|18042
UKR|109125|318|18042
IND|1578133|319|18042
MAS|243533|320|18042
DEN|113612|321|18042
NOR|1679238|322|18042
POL|1016358|323|18042
RUS|1206607|324|18042
CHI|1661283|325|18042
CMR|1160588|326|18042
SWE|1301783|327|18042
TPE|939031|328|18042
MDV|189584|329|18042
INA|463503|330|18042
RUS|1189724|330|18042
INA|1196044|330|18042
CHN|1929631|333|18042
JPN|1069234|333|18042
JPN|2440911|335|18042
CHI|116543|336|18042
ARG|417588|336|18042
MRI|1477641|338|18042
SWE|391551|339|18042
BAR|108691|340|18042
UKR|1207129|341|18042
NGR|1149370|342|18042
USA|1337367|342|18042
RUS|1250167|344|18042
TPE|1602583|345|18042
DOM|1569771|345|18042
MDV|1127293|347|18042
INA|463561|348|18042
FRA|1426754|349|18042
ENG|1251029|350|18042
INA|1148307|351|18042
KOR|391564|352|18042
KOR|1025543|352|18042
NZL|2584761|354|18042
ALG|2591713|355|18042
EGY|243517|356|18042
RSA|148459|357|18042
BRA|199943|357|18042
