country|date|pid|rank|week
FRA|6/13/2013|79056|146|5060
INA|6/13/2013|97207|147|5060
GUA|6/13/2013|17774|148|5060
ENG|6/13/2013|98866|149|5060
IND|6/13/2013|94335|150|5060
THA|6/13/2013|99411|151|5060
DOM|6/13/2013|68147|152|5060
SVK|6/13/2013|55331|153|5060
BRA|6/13/2013|52908|154|5060
MAS|6/13/2013|70093|155|5060
RUS|6/13/2013|53676|156|5060
JPN|6/13/2013|86373|157|5060
IND|6/13/2013|48127|158|5060
GUA|6/13/2013|93262|159|5060
BRA|6/13/2013|40080|160|5060
RUS|6/13/2013|6115|161|5060
IND|6/13/2013|15851|162|5060
MEX|6/13/2013|24247|163|5060
AUS|6/13/2013|53816|164|5060
ENG|6/13/2013|94149|165|5060
BEL|6/13/2013|82229|166|5060
TPE|6/13/2013|76717|167|5060
JEY|6/13/2013|11982|168|5060
HUN|6/13/2013|34899|169|5060
MRI|6/13/2013|10616|170|5060
USA|6/13/2013|53806|171|5060
CAN|6/13/2013|53877|171|5060
TPE|6/13/2013|68814|173|5060
IRL|6/13/2013|47135|174|5060
USA|6/13/2013|14621|175|5060
RUS|6/13/2013|33989|176|5060
TPE|6/13/2013|78755|177|5060
SWE|6/13/2013|60223|178|5060
GER|6/13/2013|14931|179|5060
JPN|6/13/2013|54531|180|5060
PER|6/13/2013|71252|181|5060
CZE|6/13/2013|81794|182|5060
HUN|6/13/2013|66695|183|5060
MRI|6/13/2013|42679|183|5060
AUT|6/13/2013|97511|185|5060
UKR|6/13/2013|51368|186|5060
KOR|6/13/2013|84992|187|5060
TPE|6/13/2013|54195|188|5060
GER|6/13/2013|6891|189|5060
MEX|6/13/2013|74211|190|5060
SWE|6/13/2013|64551|191|5060
IND|6/13/2013|69619|192|5060
RUS|6/13/2013|43861|193|5060
POL|6/13/2013|11071|194|5060
BEL|6/13/2013|55144|195|5060
AUT|6/13/2013|61360|196|5060
MAS|6/13/2013|62867|197|5060
MAS|6/13/2013|87629|198|5060
IND|6/13/2013|81493|199|5060
VIE|6/13/2013|18115|200|5060
FIN|6/13/2013|42731|201|5060
ITA|6/13/2013|12028|202|5060
VIE|6/13/2013|71455|203|5060
UGA|6/13/2013|83532|204|5060
PER|6/13/2013|56164|204|5060
ENG|6/13/2013|87660|206|5060
INA|6/13/2013|48714|207|5060
KOR|6/13/2013|53324|208|5060
TPE|6/13/2013|97282|209|5060
CHN|6/13/2013|76601|210|5060
EGY|6/13/2013|52901|211|5060
USA|6/13/2013|79480|212|5060
SRB|6/13/2013|60182|213|5060
DEN|6/13/2013|78534|214|5060
TPE|6/13/2013|75154|215|5060
EST|6/13/2013|67084|216|5060
LAT|6/13/2013|57646|217|5060
JPN|6/13/2013|69082|218|5060
GER|6/13/2013|59289|219|5060
INA|6/13/2013|73715|220|5060
GUA|6/13/2013|82412|221|5060
HKG|6/13/2013|52928|222|5060
POR|6/13/2013|13006|223|5060
IND|6/13/2013|67864|224|5060
INA|6/13/2013|30083|225|5060
AUT|6/13/2013|57537|226|5060
USA|6/13/2013|57798|227|5060
JPN|6/13/2013|56417|228|5060
DEN|6/13/2013|76370|229|5060
NGR|6/13/2013|80210|230|5060
AUT|6/13/2013|87854|231|5060
KOR|6/13/2013|74353|232|5060
USA|6/13/2013|55158|233|5060
THA|6/13/2013|74490|234|5060
DEN|6/13/2013|70371|235|5060
FRA|6/13/2013|9699|236|5060
PHI|6/13/2013|60138|237|5060
INA|6/13/2013|74525|238|5060
HKG|6/13/2013|55288|239|5060
BRA|6/13/2013|92082|240|5060
KOR|6/13/2013|58057|241|5060
IND|6/13/2013|80764|242|5060
PER|6/13/2013|21174|243|5060
FIN|6/13/2013|55770|244|5060
PHI|6/13/2013|33497|245|5060
BRA|6/13/2013|52910|246|5060
SUI|6/13/2013|92691|247|5060
DEN|6/13/2013|44738|248|5060
RUS|6/13/2013|54292|249|5060
NED|6/13/2013|6964|250|5060
AUS|6/13/2013|88368|251|5060
TPE|6/13/2013|88807|252|5060
ENG|6/13/2013|60805|253|5060
THA|6/13/2013|87513|254|5060
ENG|6/13/2013|50715|255|5060
DEN|6/13/2013|29419|256|5060
RUS|6/13/2013|53675|257|5060
UKR|6/13/2013|57891|258|5060
ENG|6/13/2013|5751|259|5060
INA|6/13/2013|81986|260|5060
THA|6/13/2013|86511|260|5060
BLR|6/13/2013|94400|262|5060
DEN|6/13/2013|92567|263|5060
FRA|6/13/2013|94743|263|5060
MAS|6/13/2013|92014|265|5060
INA|6/13/2013|87924|266|5060
JPN|6/13/2013|85166|267|5060
BRA|6/13/2013|74742|268|5060
TUR|6/13/2013|89027|269|5060
HKG|6/13/2013|55289|270|5060
AUS|6/13/2013|92217|270|5060
UKR|6/13/2013|63179|272|5060
MAS|6/13/2013|97932|272|5060
SLO|6/13/2013|65194|274|5060
BRA|6/13/2013|53980|275|5060
IRI|6/13/2013|52180|276|5060
TUR|6/13/2013|84902|277|5060
RUS|6/13/2013|36996|278|5060
FRA|6/13/2013|98854|279|5060
MAS|6/13/2013|97655|280|5060
SUR|6/13/2013|84728|281|5060
INA|6/13/2013|54185|282|5060
JPN|6/13/2013|71023|283|5060
BUL|6/13/2013|57906|284|5060
TUR|6/13/2013|87550|285|5060
AUS|6/13/2013|57665|285|5060
KOR|6/13/2013|51396|287|5060
JPN|6/13/2013|97138|288|5060
FIN|6/13/2013|99619|289|5060
PER|6/13/2013|42989|290|5060
NCL|6/13/2013|65406|290|5060
FIN|6/13/2013|24077|292|5060
NED|6/13/2013|92634|293|5060
USA|6/13/2013|24987|294|5060
IRI|6/13/2013|45380|295|5060
GER|6/13/2013|81470|295|5060
DEN|6/13/2013|1279|297|5060
HUN|6/13/2013|51849|298|5060
AUS|6/13/2013|91611|299|5060
SUR|6/13/2013|53479|300|5060
INA|6/13/2013|95049|301|5060
RUS|6/13/2013|75083|302|5060
JPN|6/13/2013|46485|303|5060
TTO|6/13/2013|15027|304|5060
THA|6/13/2013|76682|305|5060
AUS|6/13/2013|68997|306|5060
UKR|6/13/2013|95248|307|5060
FIN|6/13/2013|7083|308|5060
SCO|6/13/2013|12818|308|5060
ISL|6/13/2013|12129|308|5060
FRA|6/13/2013|98329|311|5060
MAS|6/13/2013|64889|312|5060
NZL|6/13/2013|35999|313|5060
CHI|6/13/2013|34449|314|5060
BLR|6/13/2013|60942|315|5060
CYP|6/13/2013|55339|316|5060
EGY|6/13/2013|71367|316|5060
EGY|6/13/2013|94632|316|5060
