country|date|pid|rank|week
CHN|4/26/2012|53938|1|3294
CHN|4/26/2012|51520|2|3294
CHN|4/26/2012|83064|3|3294
CHN|4/26/2012|64643|4|3294
IND|4/26/2012|52748|5|3294
DEN|4/26/2012|10358|6|3294
CHN|4/26/2012|14874|7|3294
GER|4/26/2012|13475|8|3294
TPE|4/26/2012|14864|9|3294
THA|4/26/2012|35642|10|3294
KOR|4/26/2012|76594|11|3294
KOR|4/26/2012|22455|12|3294
TPE|4/26/2012|61427|13|3294
THA|4/26/2012|54511|14|3294
CHN|4/26/2012|14398|15|3294
JPN|4/26/2012|77317|16|3294
SGP|4/26/2012|53782|17|3294
NED|4/26/2012|5564|18|3294
HKG|4/26/2012|51649|19|3294
JPN|4/26/2012|54531|20|3294
BUL|4/26/2012|12765|21|3294
FRA|4/26/2012|9699|22|3294
JPN|4/26/2012|15417|23|3294
CAN|4/26/2012|84523|24|3294
ESP|4/26/2012|18228|25|3294
CHN|4/26/2012|53938|1|3294
CHN|4/26/2012|51520|2|3294
CHN|4/26/2012|83064|3|3294
CHN|4/26/2012|64643|4|3294
IND|4/26/2012|52748|5|3294
DEN|4/26/2012|10358|6|3294
CHN|4/26/2012|14874|7|3294
GER|4/26/2012|13475|8|3294
TPE|4/26/2012|14864|9|3294
THA|4/26/2012|35642|10|3294
KOR|4/26/2012|76594|11|3294
KOR|4/26/2012|22455|12|3294
TPE|4/26/2012|61427|13|3294
THA|4/26/2012|54511|14|3294
CHN|4/26/2012|14398|15|3294
JPN|4/26/2012|77317|16|3294
SGP|4/26/2012|53782|17|3294
NED|4/26/2012|5564|18|3294
HKG|4/26/2012|51649|19|3294
JPN|4/26/2012|54531|20|3294
BUL|4/26/2012|12765|21|3294
FRA|4/26/2012|9699|22|3294
JPN|4/26/2012|15417|23|3294
CAN|4/26/2012|84523|24|3294
ESP|4/26/2012|18228|25|3294
TPE|4/26/2012|15509|26|3294
BUL|4/26/2012|15105|27|3294
IND|4/26/2012|73173|28|3294
SGP|4/26/2012|53788|29|3294
JPN|4/26/2012|66644|30|3294
CHN|4/26/2012|16100|31|3294
HKG|4/26/2012|52929|32|3294
ITA|4/26/2012|12028|33|3294
INA|4/26/2012|66974|34|3294
GER|4/26/2012|15323|35|3294
SCO|4/26/2012|12818|36|3294
TUR|4/26/2012|87885|37|3294
THA|4/26/2012|67158|38|3294
RUS|4/26/2012|52640|39|3294
INA|4/26/2012|14710|40|3294
CHN|4/26/2012|78288|41|3294
INA|4/26/2012|15828|42|3294
NED|4/26/2012|6964|43|3294
IRL|4/26/2012|89666|44|3294
ITA|4/26/2012|51842|45|3294
UKR|4/26/2012|51368|46|3294
INA|4/26/2012|96130|47|3294
NZL|4/26/2012|14741|48|3294
CZE|4/26/2012|51739|49|3294
