country|date|pid|rank|week
TPE|2/16/2017|61427|1|12890
ESP|2/16/2017|18228|2|12890
KOR|2/16/2017|76594|3|12890
CHN|2/16/2017|92736|4|12890
IND|2/16/2017|73173|5|12890
JPN|2/16/2017|96312|6|12890
CHN|2/16/2017|64643|7|12890
THA|2/16/2017|35642|8|12890
IND|2/16/2017|52748|9|12890
CHN|2/16/2017|87434|10|12890
JPN|2/16/2017|96713|11|12890
THA|2/16/2017|58271|12|12890
THA|2/16/2017|54511|13|12890
USA|2/16/2017|53806|14|12890
JPN|2/16/2017|95189|15|12890
CHN|2/16/2017|78778|16|12890
THA|2/16/2017|57971|17|12890
HKG|2/16/2017|87709|18|12890
JPN|2/16/2017|77317|19|12890
KOR|2/16/2017|22455|20|12890
JPN|2/16/2017|69082|21|12890
ESP|2/16/2017|95780|22|12890
DEN|2/16/2017|63437|23|12890
JPN|2/16/2017|66644|24|12890
SGP|2/16/2017|47646|25|12890
TPE|2/16/2017|61427|1|12890
ESP|2/16/2017|18228|2|12890
KOR|2/16/2017|76594|3|12890
CHN|2/16/2017|92736|4|12890
IND|2/16/2017|73173|5|12890
JPN|2/16/2017|96312|6|12890
CHN|2/16/2017|64643|7|12890
THA|2/16/2017|35642|8|12890
IND|2/16/2017|52748|9|12890
CHN|2/16/2017|87434|10|12890
JPN|2/16/2017|96713|11|12890
THA|2/16/2017|58271|12|12890
THA|2/16/2017|54511|13|12890
USA|2/16/2017|53806|14|12890
JPN|2/16/2017|95189|15|12890
CHN|2/16/2017|78778|16|12890
THA|2/16/2017|57971|17|12890
HKG|2/16/2017|87709|18|12890
JPN|2/16/2017|77317|19|12890
KOR|2/16/2017|22455|20|12890
JPN|2/16/2017|69082|21|12890
ESP|2/16/2017|95780|22|12890
DEN|2/16/2017|63437|23|12890
JPN|2/16/2017|66644|24|12890
SGP|2/16/2017|47646|25|12890
TPE|2/16/2017|74561|26|12890
BUL|2/16/2017|15105|27|12890
HKG|2/16/2017|51649|28|12890
INA|2/16/2017|96892|29|12890
MAS|2/16/2017|69012|30|12890
DEN|2/16/2017|43761|31|12890
TPE|2/16/2017|99925|32|12890
TPE|2/16/2017|27588|33|12890
CAN|2/16/2017|84523|34|12890
MAS|2/16/2017|53153|35|12890
JPN|2/16/2017|43256|36|12890
INA|2/16/2017|97207|37|12890
VIE|2/16/2017|71455|38|12890
INA|2/16/2017|61665|39|12890
THA|2/16/2017|84062|40|12890
USA|2/16/2017|57798|41|12890
SUI|2/16/2017|54068|42|12890
DEN|2/16/2017|78534|43|12890
MAS|2/16/2017|18143|44|12890
TPE|2/16/2017|76717|45|12890
ISR|2/16/2017|67069|46|12890
GER|2/16/2017|51204|47|12890
KOR|2/16/2017|91598|48|12890
INA|2/16/2017|96130|49|12890
DEN|2/16/2017|91224|50|12890
UKR|2/16/2017|76349|51|12890
FIN|2/16/2017|55770|52|12890
RUS|2/16/2017|78605|53|12890
TUR|2/16/2017|87885|54|12890
IND|2/16/2017|67864|55|12890
SCO|2/16/2017|48528|56|12890
MAS|2/16/2017|87629|57|12890
IND|2/16/2017|69619|58|12890
IND|2/16/2017|66615|59|12890
FIN|2/16/2017|42731|60|12890
JPN|2/16/2017|61568|61|12890
MAS|2/16/2017|64889|62|12890
FRA|2/16/2017|79056|63|12890
GER|2/16/2017|15323|64|12890
RUS|2/16/2017|92400|65|12890
INA|2/16/2017|66974|66|12890
CHN|2/16/2017|58637|67|12890
CZE|2/16/2017|51739|68|12890
INA|2/16/2017|64558|69|12890
IRL|2/16/2017|89666|70|12890
SGP|2/16/2017|83822|71|12890
KOR|2/16/2017|84992|72|12890
DEN|2/16/2017|70371|73|12890
SGP|2/16/2017|81033|74|12890
DEN|2/16/2017|82707|75|12890
AUS|2/16/2017|40545|76|12890
GER|2/16/2017|21854|77|12890
AUT|2/16/2017|85440|78|12890
TPE|2/16/2017|88807|79|12890
INA|2/16/2017|81986|80|12890
