country|pid|rank|week
TPE|141780|1|17387
JPN|314824|2|17387
IND|108519|3|17387
THA|109407|4|17387
CHN|995456|5|17387
JPN|165528|6|17387
ESP|113677|7|17387
KOR|108086|8|17387
CHN|990142|9|17387
IND|107881|10|17387
THA|113951|11|17387
USA|107883|12|17387
JPN|108085|13|17387
CAN|109491|14|17387
JPN|314823|15|17387
KOR|284037|16|17387
DEN|734887|17|17387
JPN|1069187|18|17387
JPN|117943|19|17387
SCO|113549|20|17387
CHN|1030562|21|17387
RUS|109100|22|17387
TPE|109344|23|17387
THA|169010|24|17387
THA|347220|25|17387
HKG|109502|26|17387
KOR|208023|27|17387
ESP|113674|28|17387
DEN|201892|29|17387
MAS|107900|30|17387
MAS|396333|31|17387
CHN|1246306|32|17387
TPE|354085|33|17387
INA|1243716|34|17387
HKG|107888|35|17387
DEN|318796|36|17387
JPN|118604|37|17387
INA|658107|38|17387
TUR|161343|39|17387
INA|146453|40|17387
JPN|391566|41|17387
MAS|243539|42|17387
INA|195682|43|17387
BUL|108626|44|17387
JPN|1023035|45|17387
CAN|437004|46|17387
TPE|313462|47|17387
TPE|107904|48|17387
CAN|1171011|49|17387
CHN|329589|50|17387
DEN|1121609|51|17387
TPE|655842|52|17387
VIE|109261|53|17387
IND|349921|54|17387
DEN|113405|55|17387
GER|277789|56|17387
RUS|109098|57|17387
ENG|256621|58|17387
CHN|143810|59|17387
MAS|318769|60|17387
INA|314830|61|17387
DEN|396264|62|17387
VIE|389182|63|17387
IND|1567872|64|17387
MRI|118498|65|17387
IND|2120209|66|17387
BUL|146291|67|17387
JPN|1068948|68|17387
NED|113649|69|17387
GER|359173|70|17387
USA|1938471|71|17387
TUR|674130|72|17387
FRA|306540|73|17387
UKR|109108|74|17387
THA|1144234|75|17387
GER|108341|76|17387
MAS|361604|77|17387
MAS|243534|78|17387
ESP|401293|79|17387
INA|280260|80|17387
AUS|118293|81|17387
NED|195693|82|17387
SUI|108660|83|17387
SGP|347234|84|17387
SVK|261720|85|17387
IND|1526580|86|17387
PER|165354|87|17387
INA|118684|88|17387
ISR|108200|89|17387
KOR|284046|90|17387
IND|161370|91|17387
IND|673279|92|17387
MAS|161866|93|17387
USA|117257|94|17387
THA|318763|95|17387
UKR|109103|96|17387
DEN|854830|97|17387
IND|349927|98|17387
SUI|161868|99|17387
EST|300579|100|17387
NGR|437079|101|17387
CHN|1929595|102|17387
SGP|347240|103|17387
IND|349922|104|17387
IND|1521429|105|17387
BLR|108374|106|17387
KOR|1739752|107|17387
UGA|221030|108|17387
CHN|1620383|109|17387
IND|349935|110|17387
IND|1575290|111|17387
CHN|1518211|112|17387
DEN|284065|113|17387
BEL|108196|114|17387
HUN|319929|115|17387
KOR|284040|116|17387
INA|873699|117|17387
CZE|108772|118|17387
CHN|1026211|119|17387
ESP|1989051|120|17387
CUB|165007|121|17387
FIN|109660|122|17387
EGY|116154|123|17387
JPN|1489698|124|17387
EST|163348|125|17387
AUS|307259|126|17387
THA|1140634|127|17387
IND|366442|128|17387
WAL|157036|129|17387
INA|148764|130|17387
JPN|165533|131|17387
HKG|2821516|132|17387
RUS|1189720|133|17387
INA|339280|134|17387
ENG|113679|135|17387
USA|1987789|136|17387
ENG|148696|137|17387
THA|107893|138|17387
TUR|108959|139|17387
DEN|1209143|140|17387
SUI|928921|141|17387
IND|408545|142|17387
TPE|1586466|143|17387
THA|117997|144|17387
AUS|113370|145|17387
TPE|107887|146|17387
CZE|108770|147|17387
EGY|384815|148|17387
THA|396334|149|17387
EST|369659|150|17387
THA|1144046|151|17387
IND|1526616|152|17387
MEX|1269796|153|17387
THA|1194566|154|17387
FRA|454429|155|17387
POR|243516|156|17387
USA|1240516|157|17387
TPE|1034189|158|17387
IND|349945|159|17387
UKR|659468|160|17387
USA|990146|161|17387
ALG|1428602|162|17387
IND|216148|163|17387
INA|1285659|164|17387
RUS|1615874|165|17387
ALG|1654238|166|17387
FRA|306541|167|17387
THA|1350742|168|17387
PER|1437015|169|17387
THA|391562|170|17387
RUS|339248|171|17387
BLR|108775|172|17387
RUS|108201|173|17387
MEX|147512|174|17387
CHN|1030652|175|17387
FRA|314863|176|17387
JPN|118639|177|17387
NZL|1073245|178|17387
BRA|116205|179|17387
CZE|815629|180|17387
JPN|391565|181|17387
SUI|359207|182|17387
JPN|118602|183|17387
TPE|239500|184|17387
FRA|454127|185|17387
TPE|1061615|186|17387
USA|109177|187|17387
PER|1039353|188|17387
IND|408506|189|17387
RUS|108195|190|17387
IND|1009594|191|17387
TPE|211392|192|17387
UGA|116384|193|17387
TPE|1622451|194|17387
HUN|180656|195|17387
DEN|1966429|196|17387
UKR|665660|197|17387
ZAM|116016|198|17387
IRL|355068|199|17387
MYA|2059596|200|17387
DEN|350725|201|17387
CHN|1929631|202|17387
AUS|239710|203|17387
LTU|251974|204|17387
KOR|387383|205|17387
ENG|1971205|206|17387
VIE|1620857|207|17387
THA|1485450|208|17387
PER|1039323|209|17387
NGR|934608|210|17387
DEN|1664484|211|17387
EST|300590|212|17387
EGY|2505051|213|17387
NGR|934609|214|17387
TPE|2156040|215|17387
SWE|1301748|216|17387
LTU|164986|217|17387
CRO|306537|218|17387
MRI|164705|219|17387
MEX|165353|220|17387
GUA|1072733|221|17387
TUR|146289|222|17387
BRA|1520561|223|17387
ENG|1257140|224|17387
GUA|1575291|225|17387
CZE|1223553|226|17387
MAS|243533|227|17387
TPE|1283891|228|17387
IND|1583897|229|17387
BLR|113733|230|17387
USA|455889|231|17387
IND|2001534|231|17387
MDV|1127323|233|17387
CHN|109508|234|17387
CHN|1620419|235|17387
AUS|1580547|236|17387
SRI|306550|237|17387
HKG|1000300|238|17387
INA|1422739|239|17387
KOR|1739753|240|17387
NZL|1058646|241|17387
MRI|330624|242|17387
RUS|109104|243|17387
MAS|370432|244|17387
RUS|311506|245|17387
HUN|2306656|246|17387
TPE|939031|247|17387
TPE|1586536|248|17387
TPE|115786|249|17387
RUS|453695|250|17387
RUS|2037494|251|17387
IND|1523373|252|17387
NGR|163748|253|17387
GUA|116574|254|17387
INA|1148304|255|17387
USA|1337367|255|17387
JPN|2891230|257|17387
ZAM|1142919|258|17387
INA|1148311|259|17387
LAT|163356|260|17387
HKG|212000|261|17387
SLO|398145|262|17387
KOR|2083250|263|17387
TPE|260169|264|17387
INA|657586|265|17387
SWE|695191|266|17387
BLR|1218961|267|17387
NZL|2573502|268|17387
NOR|361655|269|17387
IRI|118681|270|17387
AUS|1563569|271|17387
ISR|814566|272|17387
GUA|1072763|273|17387
INA|1564801|274|17387
AUS|437109|275|17387
EGY|1476089|276|17387
TPE|1519712|277|17387
ALG|2591619|278|17387
BRA|404637|279|17387
USA|2294769|280|17387
JAM|276944|281|17387
