country|date|pid|rank|week
TPE|12/29/2016|61427|1|12585
ESP|12/29/2016|18228|2|12585
KOR|12/29/2016|76594|3|12585
CHN|12/29/2016|92736|4|12585
THA|12/29/2016|35642|5|12585
IND|12/29/2016|73173|6|12585
JPN|12/29/2016|96312|7|12585
CHN|12/29/2016|64643|8|12585
CHN|12/29/2016|87434|9|12585
IND|12/29/2016|52748|10|12585
JPN|12/29/2016|96713|11|12585
THA|12/29/2016|54511|12|12585
THA|12/29/2016|58271|13|12585
USA|12/29/2016|53806|14|12585
JPN|12/29/2016|77317|15|12585
THA|12/29/2016|57971|16|12585
KOR|12/29/2016|22455|17|12585
CHN|12/29/2016|78778|18|12585
HKG|12/29/2016|87709|19|12585
JPN|12/29/2016|95189|20|12585
DEN|12/29/2016|63437|21|12585
JPN|12/29/2016|69082|22|12585
ESP|12/29/2016|95780|23|12585
JPN|12/29/2016|66644|24|12585
TPE|12/29/2016|74561|25|12585
TPE|12/29/2016|61427|1|12585
ESP|12/29/2016|18228|2|12585
KOR|12/29/2016|76594|3|12585
CHN|12/29/2016|92736|4|12585
THA|12/29/2016|35642|5|12585
IND|12/29/2016|73173|6|12585
JPN|12/29/2016|96312|7|12585
CHN|12/29/2016|64643|8|12585
CHN|12/29/2016|87434|9|12585
IND|12/29/2016|52748|10|12585
JPN|12/29/2016|96713|11|12585
THA|12/29/2016|54511|12|12585
THA|12/29/2016|58271|13|12585
USA|12/29/2016|53806|14|12585
JPN|12/29/2016|77317|15|12585
THA|12/29/2016|57971|16|12585
KOR|12/29/2016|22455|17|12585
CHN|12/29/2016|78778|18|12585
HKG|12/29/2016|87709|19|12585
JPN|12/29/2016|95189|20|12585
DEN|12/29/2016|63437|21|12585
JPN|12/29/2016|69082|22|12585
ESP|12/29/2016|95780|23|12585
JPN|12/29/2016|66644|24|12585
TPE|12/29/2016|74561|25|12585
BUL|12/29/2016|15105|26|12585
SGP|12/29/2016|47646|27|12585
JPN|12/29/2016|43256|28|12585
SCO|12/29/2016|48528|29|12585
HKG|12/29/2016|51649|30|12585
MAS|12/29/2016|69012|31|12585
TPE|12/29/2016|99925|32|12585
DEN|12/29/2016|43761|33|12585
CAN|12/29/2016|84523|34|12585
MAS|12/29/2016|53153|35|12585
GER|12/29/2016|51204|36|12585
VIE|12/29/2016|71455|37|12585
TPE|12/29/2016|27588|38|12585
KOR|12/29/2016|91598|39|12585
INA|12/29/2016|96892|40|12585
USA|12/29/2016|57798|41|12585
INA|12/29/2016|96130|42|12585
INA|12/29/2016|61665|43|12585
INA|12/29/2016|66974|44|12585
SUI|12/29/2016|54068|45|12585
INA|12/29/2016|97207|46|12585
DEN|12/29/2016|78534|47|12585
TPE|12/29/2016|76717|48|12585
FIN|12/29/2016|55770|49|12585
RUS|12/29/2016|78605|50|12585
UKR|12/29/2016|76349|51|12585
JPN|12/29/2016|61568|52|12585
DEN|12/29/2016|91224|53|12585
TUR|12/29/2016|87885|54|12585
FIN|12/29/2016|42731|55|12585
GER|12/29/2016|15323|56|12585
IND|12/29/2016|66615|57|12585
MAS|12/29/2016|87629|58|12585
IND|12/29/2016|69619|59|12585
ISR|12/29/2016|67069|60|12585
MAS|12/29/2016|18143|61|12585
KOR|12/29/2016|84992|62|12585
IND|12/29/2016|67864|63|12585
INA|12/29/2016|81986|64|12585
THA|12/29/2016|84062|65|12585
DEN|12/29/2016|70371|66|12585
CZE|12/29/2016|51739|67|12585
DEN|12/29/2016|50331|68|12585
RUS|12/29/2016|92400|69|12585
AUT|12/29/2016|85440|70|12585
FRA|12/29/2016|79056|71|12585
IRL|12/29/2016|89666|72|12585
MAS|12/29/2016|64889|73|12585
GER|12/29/2016|21854|74|12585
TPE|12/29/2016|88807|75|12585
DEN|12/29/2016|77002|76|12585
INA|12/29/2016|64558|77|12585
ITA|12/29/2016|51842|78|12585
CHN|12/29/2016|58637|79|12585
JPN|12/29/2016|53392|80|12585
DEN|12/29/2016|82707|81|12585
BEL|12/29/2016|55318|82|12585
MAS|12/29/2016|62867|83|12585
EST|12/29/2016|11914|84|12585
TUR|12/29/2016|94762|85|12585
AUS|12/29/2016|40545|86|12585
ENG|12/29/2016|55536|87|12585
SGP|12/29/2016|81033|88|12585
TPE|12/29/2016|71673|89|12585
CHN|12/29/2016|78116|90|12585
LTU|12/29/2016|14894|91|12585
VIE|12/29/2016|75678|92|12585
EGY|12/29/2016|52901|93|12585
GER|12/29/2016|67857|94|12585
ENG|12/29/2016|50715|95|12585
USA|12/29/2016|14621|96|12585
MRI|12/29/2016|42679|97|12585
CAN|12/29/2016|95664|98|12585
SGP|12/29/2016|83822|99|12585
RUS|12/29/2016|36996|100|12585
NED|12/29/2016|89454|101|12585
BUL|12/29/2016|57906|102|12585
INA|12/29/2016|67996|103|12585
BRA|12/29/2016|74742|104|12585
BLR|12/29/2016|52294|105|12585
IND|12/29/2016|56471|106|12585
AUS|12/29/2016|91611|107|12585
JPN|12/29/2016|60317|108|12585
HUN|12/29/2016|34899|109|12585
INA|12/29/2016|74525|110|12585
GER|12/29/2016|91106|111|12585
ESP|12/29/2016|74218|112|12585
DEN|12/29/2016|96276|113|12585
THA|12/29/2016|91422|114|12585
JPN|12/29/2016|65751|115|12585
KOR|12/29/2016|60908|115|12585
TPE|12/29/2016|75154|117|12585
AUS|12/29/2016|64389|118|12585
JPN|12/29/2016|91896|119|12585
BUL|12/29/2016|12765|120|12585
AUS|12/29/2016|57665|121|12585
INA|12/29/2016|66963|122|12585
JPN|12/29/2016|56834|123|12585
BRA|12/29/2016|52908|124|12585
INA|12/29/2016|83802|125|12585
IND|12/29/2016|75410|126|12585
CZE|12/29/2016|81794|127|12585
CHN|12/29/2016|58720|128|12585
RUS|12/29/2016|67073|129|12585
EST|12/29/2016|86222|130|12585
BEL|12/29/2016|65846|131|12585
MEX|12/29/2016|85514|132|12585
CZE|12/29/2016|34229|133|12585
IND|12/29/2016|59536|134|12585
UKR|12/29/2016|76910|135|12585
TPE|12/29/2016|87176|136|12585
CHN|12/29/2016|92967|137|12585
ZAM|12/29/2016|51665|138|12585
JPN|12/29/2016|34890|139|12585
HUN|12/29/2016|74051|140|12585
MEX|12/29/2016|61244|141|12585
EGY|12/29/2016|94632|142|12585
SUI|12/29/2016|92691|143|12585
TUR|12/29/2016|89027|144|12585
HKG|12/29/2016|70188|145|12585
NED|12/29/2016|93419|146|12585
ENG|12/29/2016|87660|147|12585
CHN|12/29/2016|76601|148|12585
KOR|12/29/2016|70930|149|12585
IND|12/29/2016|88809|150|12585
AUS|12/29/2016|99445|151|12585
SUI|12/29/2016|74309|152|12585
POL|12/29/2016|45656|153|12585
IND|12/29/2016|21036|154|12585
GER|12/29/2016|85730|155|12585
NGR|12/29/2016|80210|156|12585
TPE|12/29/2016|51518|157|12585
DEN|12/29/2016|70495|158|12585
IRL|12/29/2016|80889|159|12585
FRA|12/29/2016|82409|160|12585
MAS|12/29/2016|97655|161|12585
INA|12/29/2016|35662|162|12585
THA|12/29/2016|87513|163|12585
ENG|12/29/2016|79055|164|12585
POR|12/29/2016|13006|165|12585
INA|12/29/2016|74788|166|12585
PER|12/29/2016|71252|167|12585
USA|12/29/2016|62974|168|12585
ENG|12/29/2016|60814|169|12585
SRI|12/29/2016|96090|170|12585
WAL|12/29/2016|94806|171|12585
WAL|12/29/2016|16875|172|12585
INA|12/29/2016|55717|173|12585
INA|12/29/2016|93338|174|12585
LTU|12/29/2016|53814|175|12585
JPN|12/29/2016|94712|176|12585
KOR|12/29/2016|81749|177|12585
TPE|12/29/2016|78755|178|12585
MAS|12/29/2016|70093|179|12585
VIE|12/29/2016|18115|180|12585
SLO|12/29/2016|81419|181|12585
MAS|12/29/2016|63369|182|12585
EGY|12/29/2016|61746|183|12585
INA|12/29/2016|58698|184|12585
SVK|12/29/2016|75188|185|12585
NEP|12/29/2016|78543|186|12585
GUA|12/29/2016|17774|187|12585
FRA|12/29/2016|55629|188|12585
DEN|12/29/2016|44738|189|12585
TPE|12/29/2016|53628|190|12585
CHN|12/29/2016|79753|191|12585
RUS|12/29/2016|81552|192|12585
KOR|12/29/2016|95820|193|12585
CHN|12/29/2016|92728|194|12585
CHN|12/29/2016|89700|195|12585
BLR|12/29/2016|63639|196|12585
INA|12/29/2016|15828|197|12585
RUS|12/29/2016|64352|198|12585
CHN|12/29/2016|76632|199|12585
MAS|12/29/2016|97932|200|12585
FRA|12/29/2016|89836|201|12585
INA|12/29/2016|88740|202|12585
RUS|12/29/2016|73195|203|12585
INA|12/29/2016|80425|204|12585
IRL|12/29/2016|73274|205|12585
SVK|12/29/2016|91157|206|12585
CHN|12/29/2016|62186|207|12585
SGP|12/29/2016|71086|208|12585
RUS|12/29/2016|82524|209|12585
ZAM|12/29/2016|55777|209|12585
DEN|12/29/2016|76370|211|12585
SCO|12/29/2016|91715|212|12585
BRA|12/29/2016|93397|213|12585
CHN|12/29/2016|72019|214|12585
ENG|12/29/2016|53341|215|12585
IND|12/29/2016|59370|216|12585
SUI|12/29/2016|81056|217|12585
TUR|12/29/2016|84902|218|12585
SRI|12/29/2016|68295|219|12585
JPN|12/29/2016|61066|220|12585
JPN|12/29/2016|99532|221|12585
USA|12/29/2016|59692|222|12585
PAK|12/29/2016|75632|223|12585
FIN|12/29/2016|99619|224|12585
EST|12/29/2016|73015|225|12585
INA|12/29/2016|86412|226|12585
CHN|12/29/2016|78837|227|12585
SWE|12/29/2016|89196|228|12585
MAS|12/29/2016|52103|229|12585
IND|12/29/2016|56940|230|12585
THA|12/29/2016|71801|231|12585
HKG|12/29/2016|59216|232|12585
JPN|12/29/2016|56963|233|12585
IND|12/29/2016|93187|234|12585
INA|12/29/2016|70481|235|12585
USA|12/29/2016|97223|236|12585
PYF|12/29/2016|85850|237|12585
SGP|12/29/2016|58917|238|12585
SWE|12/29/2016|57304|239|12585
TPE|12/29/2016|57244|240|12585
VIE|12/29/2016|73814|241|12585
HUN|12/29/2016|98804|242|12585
HKG|12/29/2016|95905|243|12585
LAT|12/29/2016|10625|244|12585
SUI|12/29/2016|81375|245|12585
INA|12/29/2016|78068|246|12585
ENG|12/29/2016|92837|247|12585
TPE|12/29/2016|54128|248|12585
TPE|12/29/2016|80795|249|12585
BLR|12/29/2016|94400|250|12585
RSA|12/29/2016|75193|251|12585
