tournament_end|tournament_id|tournament_location|tournament_name|tournament_start|tournament_type
2014-02-23 23:59|0655945D-EA73-470D-9066-344FD94F5FB5|Kampala, Uganda|Uganda International 2014|2014-02-20 00:00|International Series
2014-02-23 00:00|2C44BE7B-84CF-47BD-ABF5-4CA4F620733C|Gijón, Spain|IX Spanish Junior International 2014|2014-02-21 00:00|Junior International Series
2014-03-02 23:59|F2C62064-9573-4195-B7EB-265662B7326D|Mülheim an der Ruhr, Germany|Yonex German Open 2014|2014-02-25 00:00|Grand Prix Gold
2014-03-02 00:00|E1E8816D-3203-46D3-93CB-F36B43FBF59B|Haarlem, Netherlands|Yonex Dutch Junior 2014|2014-02-26 00:00|Junior International Challenge
2014-03-09 00:00|6DA247C0-51DE-4A7E-A3A6-EED7607702D3| Birmingham, England|Yonex All England Open|2014-03-04 00:00|World Superseries Premier
2014-03-09 00:00|329A5E09-5B17-4B3D-A43A-191D3B42DB35|Berlin, Germany|YONEX German Junior 2014|2014-03-06 00:00|Junior International Challenge
2014-03-09 23:59|592DDF56-5DC3-4F91-8584-C1386561499E|Caldas da Rainha, Portugal|49th Portuguese International Championships|2014-03-06 00:00|International Series
2014-03-16 23:59|ED0EEF04-3B7E-4FB3-8899-474D8E098C8B| Basel, Switzerland, Switzerland|Swiss Open 2014|2014-03-11 00:00|Grand Prix Gold
2014-03-16 23:59|8D8CF113-C055-4DB2-8AEC-1E57D8CB9F62|Timisoara, Romania|Romanian International 2014|2014-03-13 00:00|International Series
2014-03-19 23:59|42A11031-55E1-4DF0-BBD3-8BBF03CB1C63|Ankara, Turkey|2014 European U17 Team Championships|2014-03-15 00:00|none
2014-03-22 23:59|75E46ED1-B7EA-4E39-B102-174ACED81EBD|Singapore, Singapore|Pilot Pen National Age Group Singles 2014|2014-03-17 00:00|none
2014-03-23 23:59|F22EA94D-9C43-49BF-9625-8B1DEF1545A2|Ankara, Turkey|2014 European U17 Championships|2014-03-19 00:00|none
2014-03-23 23:59|AF933AA9-274E-4F2A-8098-00AF18AE40F2|Warsaw, Poland|40th Yonex Polish Open 2014|2014-03-20 00:00|International Challenge
2014-03-30 23:59|C1E8091C-065C-4B42-8BE0-20CA92A3291C|Hanoi, Vietnam|Ciputra Hanoi - Yonex Sunrise Vietnam International Challenge 2014|2014-03-25 00:00|International Challenge
2014-03-30 23:59|52045CBE-EAA1-4CCD-BE58-F1F9C13007D7|Pasir Gudang, Malaysia|YONEX-SUNRISE MALAYSIA GPG 2014|2014-03-25 00:00|Grand Prix Gold
2014-03-30 23:59|AD5722AD-81CC-4B11-9278-4A08EED35987|Havana, Cuba|XV GIRALDILLA BADMINTON TOURNAMENT 2014|2014-03-26 00:00|International Series
2014-03-30 00:00|1CE0B95B-C921-49D7-A82C-044A3AEE7ADB|Gutemala City, Guatemala|Guatemala Junior International 2014|2014-03-27 00:00|Junior Future Series
2014-03-30 23:59|FAF22CEB-31CC-43FB-B665-CD0BACD6AC43|Orléans, France|French International 2014|2014-03-27 00:00|International Challenge
2014-03-30 00:00|3E35C03D-6F6F-4B55-A1E6-99509E5E3E44|Milan, Italy|IV Italian Junior International 2014|2014-03-28 00:00|Junior International Series
2014-04-06 23:59|1E628FF0-F6D8-42D6-9C25-6A3446AB0037|New Delhi, India|Yonex- Sunrise India Open|2014-04-01 00:00|none
2014-04-06 23:59|408B720B-55D7-4E97-9204-8E24777B90CA|Osaka, Japan|Osaka International Challenge Badminton Championships 2014|2014-04-02 00:00|International Challenge
2014-04-06 00:00|74977ED0-54EE-411D-B5C1-396891C29DA4|Puerto Vallarata , Mexico|YONEX Mexican International U19 2014|2014-04-03 00:00|Junior Future Series
2014-04-06 23:59|63DE3BC7-5A79-4F6E-81F2-7CEE92D4DFFA|Vantaa, Finland|Finnish Open 2014|2014-04-03 00:00|International Challenge
2014-04-11 00:00|E85359D1-8AD3-4DDA-A98F-44AD0C0DEC5F|Alor Setar , Malaysia|JATI BWF World Junior Mixed Team Championships 2014|2014-04-07 00:00|BWF Events
2014-04-13 00:00|7C9CED65-69B7-46B2-9D1D-10F84732B776|Singapore, Singapore|OUE Singapore Open|2014-04-08 00:00|World Superseries
2014-04-13 23:59|8E760E34-474C-4E4D-82A0-EEBF198CB39D|Lima, Peru|XIX PERU INTERNATIONAL 2014|2014-04-09 00:00|International Challenge
2014-04-13 23:59|E3F073EF-2E6E-44BA-B817-835F95A44E1E|Zagreb, Croatia|Victor Croatian International 2014|2014-04-10 00:00|International Series
2014-04-18 00:00|CDB3E2C3-4A07-473A-8642-D195D99C655A|Alor Setar , Malaysia|JATI BWF World Junior Championhips 2014 ( EYE-LEVEL CUPS)|2014-04-13 00:00|BWF Events
2014-04-19 23:59|6BDB75F4-0C61-4521-9BC8-31266BC4242A| Auckland, New Zealand|SkyCity New Zealand Open 2014|2014-04-15 00:00|Grand Prix
2014-04-20 23:59|8C412A4B-D8FA-47EA-B08C-5FD6C454AB60|Changzhou, China|China Masters GPG 2014|2014-04-15 00:00|Grand Prix Gold
2014-04-20 23:59|735922B2-05F6-40AE-AF96-CBA5ED634A82|Jakarta, Indonesia|USM International Series 2014|2014-04-15 00:00|International Series
2014-04-20 23:59|E5DDEAAA-1E21-4DB0-A7F7-3155ACAE4537|Wateringen, Netherlands|Victor Dutch International 2014|2014-04-17 00:00|International Series
2014-04-26 00:00|E869A338-4307-4F6D-BD70-CC2E407096CD|Semarang, Indonesia|USM FLYPOWER OPEN 2014|2014-04-21 00:00|International Series
2014-04-27 00:00|2445651E-F509-4CCC-A859-11EFAE44E3A2|Gimcheon, Korea|Badminton Asia Championships 2014|2014-04-22 00:00|BWF Events
2014-04-26 23:59|F6EFE4B6-BC91-44E9-931A-E670AA7B79B9|Maribyrnong, Australia|2014 Victor Maribyrnong International|2014-04-23 00:00|International Series
2014-04-26 23:59|6CC591F6-37EE-4E69-8F32-5C646AB5AAB1|Gaborone, Botswana|Africa Team Championships 2014|2014-04-23 00:00|BWF Events
2014-04-27 00:00|54E96E67-3907-400E-80FC-64EB561924E1|Kazan, Russia|2014 INTERSPORT European Championships|2014-04-23 00:00|BWF Events
2014-04-26 00:00|7548D5B7-63CD-4EE1-91B4-EAD2BB78BC7A|Rishon Le Zion, Israel|ISRAEL JUNIOR 2014(U-19)|2014-04-24 00:00|Junior International Series
2014-04-26 23:59|C0A0FF0D-C40D-4314-B598-99B39508A82D|Rishon Le Zion, Israel|ISRAEL YOUTH INTERNATIONAL 2014|2014-04-24 00:00|none
