game|games_played|p1_score|p1a_pid|p1b_pid|p2_score|p2a_pid|p2b_pid|t_date|t_id
1|1|-|80427|83341|-|87566|83822|2014-03-25|1482
1|2|21|14441|52103|19|69345|61491|2014-03-25|1482
2|2|21|14441|52103|8|69345|61491|2014-03-25|1482
1|2|21|58193|14121|16|85577|56377|2014-03-25|1482
2|2|21|58193|14121|8|85577|56377|2014-03-25|1482
1|2|25|55762|59237|23|60745|93468|2014-03-25|1482
2|2|21|55762|59237|18|60745|93468|2014-03-25|1482
1|3|21|87312|70120|7|59326|99826|2014-03-25|1482
2|3|18|87312|70120|21|59326|99826|2014-03-25|1482
3|3|21|87312|70120|12|59326|99826|2014-03-25|1482
1|2|21|15712||9|62356||2014-03-25|1482
2|2|21|15712||10|62356||2014-03-25|1482
1|2|21|86805||16|81177||2014-03-25|1482
2|2|21|86805||17|81177||2014-03-25|1482
1|2|21|27651|68980|14|67773|67604|2014-03-25|1482
2|2|21|27651|68980|11|67773|67604|2014-03-25|1482
1|2|21|95182||18|42442||2014-03-25|1482
2|2|21|95182||14|42442||2014-03-25|1482
1|3|18|97931||21|68255||2014-03-25|1482
2|3|21|97931||7|68255||2014-03-25|1482
3|3|21|97931||10|68255||2014-03-25|1482
1|2|21|92484||19|98353||2014-03-25|1482
2|2|22|92484||20|98353||2014-03-25|1482
1|2|21|64229||4|91065||2014-03-25|1482
2|2|21|64229||13|91065||2014-03-25|1482
1|2|21|30135||9|87674||2014-03-25|1482
2|2|21|30135||14|87674||2014-03-25|1482
1|2|29|94891||27|92467||2014-03-25|1482
2|2|21|94891||13|92467||2014-03-25|1482
1|2|21|75803||6|56212||2014-03-25|1482
2|2|21|75803||10|56212||2014-03-25|1482
1|2|21|94985||9|83314||2014-03-25|1482
2|2|21|94985||18|83314||2014-03-25|1482
1|3|19|58064||21|11232||2014-03-25|1482
2|3|21|58064||8|11232||2014-03-25|1482
3|3|21|58064||12|11232||2014-03-25|1482
1|2|21|96801||15|27756||2014-03-25|1482
2|2|21|96801||19|27756||2014-03-25|1482
1|2|21|85350||14|69515||2014-03-25|1482
2|2|21|85350||7|69515||2014-03-25|1482
1|2|21|97114||6|97235||2014-03-25|1482
2|2|21|97114||7|97235||2014-03-25|1482
1|2|21|70253||15|56377||2014-03-25|1482
2|2|21|70253||6|56377||2014-03-25|1482
1|2|21|93164||7|99826||2014-03-25|1482
2|2|21|93164||5|99826||2014-03-25|1482
1|2|22|70120||20|94428||2014-03-25|1482
2|2|21|70120||16|94428||2014-03-25|1482
1|3|19|75678||21|68667||2014-03-25|1482
2|3|21|75678||17|68667||2014-03-25|1482
3|3|23|75678||21|68667||2014-03-25|1482
1|2|21|73528||15|79390||2014-03-25|1482
2|2|21|73528||17|79390||2014-03-25|1482
1|3|22|67181||24|14441||2014-03-25|1482
2|3|21|67181||9|14441||2014-03-25|1482
3|3|21|67181||8|14441||2014-03-25|1482
1|3|21|87312||19|92508||2014-03-25|1482
2|3|20|87312||22|92508||2014-03-25|1482
3|3|21|87312||16|92508||2014-03-25|1482
1|2|21|68980||13|61152||2014-03-25|1482
2|2|21|68980||10|61152||2014-03-25|1482
