game|games_played|p1_score|p1a_pid|p1b_pid|p2_score|p2a_pid|p2b_pid|t_date|t_id
1|2|21|68245||12|85658||2014-02-13|1470
2|2|21|68245||17|85658||2014-02-13|1470
1|2|21|85008||16|58402||2014-02-13|1470
2|2|21|85008||11|58402||2014-02-13|1470
1|3|21|70658||18|72129||2014-02-13|1470
2|3|18|70658||21|72129||2014-02-13|1470
3|3|21|70658||12|72129||2014-02-13|1470
1|2|21|98917||10|70005||2014-02-13|1470
2|2|21|98917||9|70005||2014-02-13|1470
1|1|-|50606||-|92318||2014-02-14|1470
1|2|21|74742||2|90876||2014-02-14|1470
2|2|21|74742||2|90876||2014-02-14|1470
1|2|21|68245||12|99343||2014-02-14|1470
2|2|21|68245||14|99343||2014-02-14|1470
1|2|21|80894||3|69446||2014-02-14|1470
2|2|21|80894||3|69446||2014-02-14|1470
1|2|21|85008||4|93748||2014-02-14|1470
2|2|21|85008||5|93748||2014-02-14|1470
1|2|22|98917||20|63717||2014-02-14|1470
2|2|21|98917||18|63717||2014-02-14|1470
1|3|20|82314||22|70658||2014-02-14|1470
2|3|21|82314||14|70658||2014-02-14|1470
3|3|21|82314||10|70658||2014-02-14|1470
1|2|21|71252||1|65909||2014-02-14|1470
2|2|21|71252||2|65909||2014-02-14|1470
1|2|21|70658|85008|8|72129|85658|2014-02-14|1470
2|2|21|70658|85008|12|72129|85658|2014-02-14|1470
1|2|21|70658|80894|6|99343|63717|2014-02-14|1470
2|2|21|70658|80894|8|99343|63717|2014-02-14|1470
1|2|21|68245|98917|5|85658|69446|2014-02-14|1470
2|2|21|68245|98917|6|85658|69446|2014-02-14|1470
1|2|21|82314|90876|12|72129|70005|2014-02-14|1470
2|2|21|82314|90876|10|72129|70005|2014-02-14|1470
1|2|21|68245||19|50606||2014-02-15|1470
2|2|22|68245||20|50606||2014-02-15|1470
1|2|21|74742||9|80894||2014-02-15|1470
2|2|21|74742||8|80894||2014-02-15|1470
1|2|21|85008||6|82314||2014-02-15|1470
2|2|21|85008||9|82314||2014-02-15|1470
1|2|21|71252||3|98917||2014-02-15|1470
2|2|21|71252||1|98917||2014-02-15|1470
1|2|21|58402|71252|14|70658|80894|2014-02-15|1470
2|2|21|58402|71252|9|70658|80894|2014-02-15|1470
1|2|21|68245|98917|13|82314|90876|2014-02-15|1470
2|2|22|68245|98917|20|82314|90876|2014-02-15|1470
1|1|-|82314|99343|-|92318|68245|2014-02-15|1470
1|2|21|71252|80894|3|70005|69446|2014-02-15|1470
2|2|21|71252|80894|5|70005|69446|2014-02-15|1470
1|3|22|70658|85008|24|58402|50606|2014-02-15|1470
2|3|21|70658|85008|18|58402|50606|2014-02-15|1470
3|3|21|70658|85008|16|58402|50606|2014-02-15|1470
1|2|21|90876|63717|11|70005|69446|2014-02-15|1470
2|2|21|90876|63717|15|70005|69446|2014-02-15|1470
1|2|21|74742||9|71252||2014-02-16|1470
2|2|21|74742||17|71252||2014-02-16|1470
1|2|21|85008||19|68245||2014-02-16|1470
2|2|21|85008||9|68245||2014-02-16|1470
1|2|21|58402|71252|3|68245|98917|2014-02-16|1470
2|2|21|58402|71252|8|68245|98917|2014-02-16|1470
1|2|21|70658|85008|17|82314|99343|2014-02-16|1470
2|2|21|70658|85008|18|82314|99343|2014-02-16|1470
1|2|21|71252|80894|6|90876|63717|2014-02-16|1470
2|2|21|71252|80894|8|90876|63717|2014-02-16|1470
