game|games_played|p1_score|p1a_pid|p1b_pid|p2_score|p2a_pid|p2b_pid|t_date|t_id
1|2|21|86137||4|82961||results|3161
2|2|21|86137||7|82961||results|3161
1|2|21|87312||12|65554||results|3161
2|2|21|87312||10|65554||results|3161
1|1|2|11268||1|79686||results|3161
1|2|21|59322||8|68050||results|3161
2|2|21|59322||13|68050||results|3161
1|3|24|67096||26|19694||results|3161
2|3|21|67096||19|19694||results|3161
3|3|21|67096||13|19694||results|3161
1|2|25|91204||23|58640||results|3161
2|2|21|91204||18|58640||results|3161
1|2|21|16714||10|87832||results|3161
2|2|21|16714||18|87832||results|3161
1|2|21|77848||15|67795||results|3161
2|2|21|77848||14|67795||results|3161
1|3|17|93611|54361|21|59319|93079|results|3161
2|3|21|93611|54361|19|59319|93079|results|3161
3|3|21|93611|54361|12|59319|93079|results|3161
1|3|21|88094|28492|17|67359|47498|results|3161
2|3|16|88094|28492|21|67359|47498|results|3161
3|3|21|88094|28492|16|67359|47498|results|3161
1|2|21|90184|55874|17|54344|76794|results|3161
2|2|21|90184|55874|13|54344|76794|results|3161
1|2|21|61444|56706|10|94757|57992|results|3161
2|2|21|61444|56706|17|94757|57992|results|3161
1|2|21|98991||14|62639||results|3161
2|2|21|98991||13|62639||results|3161
1|2|21|87442||7|80871||results|3161
2|2|21|87442||9|80871||results|3161
1|3|21|80795||12|75154||results|3161
2|3|14|80795||21|75154||results|3161
3|3|21|80795||15|75154||results|3161
1|2|21|87312||17|11268||results|3161
2|2|21|87312||12|11268||results|3161
1|2|21|66827|57260|10|88711|58024|results|3161
2|2|21|66827|57260|7|88711|58024|results|3161
1|3|23|68091|58878|25|74757|96529|results|3161
2|3|21|68091|58878|19|74757|96529|results|3161
3|3|21|68091|58878|12|74757|96529|results|3161
1|2|21|63070||16|82616||results|3161
2|2|21|63070||11|82616||results|3161
1|3|21|86137||16|59322||results|3161
2|3|17|86137||21|59322||results|3161
3|3|26|86137||24|59322||results|3161
1|2|21|91204||17|67096||results|3161
2|2|21|91204||16|67096||results|3161
1|2|21|16714||16|77848||results|3161
2|2|21|16714||15|77848||results|3161
1|2|21|59319|82502|9|58950|98269|results|3161
2|2|21|59319|82502|14|58950|98269|results|3161
1|3|17|94757|60683|21|87312|56983|results|3161
2|3|21|94757|60683|18|87312|56983|results|3161
3|3|21|94757|60683|12|87312|56983|results|3161
1|2|21|47498|57992|8|79790|98217|results|3161
2|2|21|47498|57992|12|79790|98217|results|3161
1|1|5|87442|99778|4|93074|55874|results|3161
1|2|21|35131|79061|10|62639|93852|results|3161
2|2|21|35131|79061|6|62639|93852|results|3161
