game|games_played|p1_score|p1a_pid|p1b_pid|p2_score|p2a_pid|p2b_pid|t_date|t_id
1|2|21|58878|71391|16|66827|63305|2014-01-07|1462
2|2|21|58878|71391|15|66827|63305|2014-01-07|1462
1|2|21|98828||11|66513||2014-01-07|1462
2|2|21|98828||14|66513||2014-01-07|1462
1|2|21|67871||12|57813||2014-01-07|1462
2|2|21|67871||12|57813||2014-01-07|1462
1|2|21|68718||9|57260||2014-01-07|1462
2|2|23|68718||21|57260||2014-01-07|1462
1|1|-|59639||-|53676||2014-01-07|1462
1|2|21|87762||6|63070||2014-01-07|1462
2|2|21|87762||18|63070||2014-01-07|1462
1|2|21|51599||18|92121||2014-01-07|1462
2|2|22|51599||20|92121||2014-01-07|1462
1|2|21|68381||8|66854||2014-01-07|1462
2|2|21|68381||11|66854||2014-01-07|1462
1|2|21|67810||18|52041||2014-01-07|1462
2|2|11|67810||7|52041||2014-01-07|1462
1|1|6|84992||1|91563||2014-01-07|1462
1|1|2|74598||0|59991||2014-01-07|1462
1|2|21|66513|83419|18|63258|87257|2014-01-07|1462
2|2|21|66513|83419|10|63258|87257|2014-01-07|1462
1|3|21|65580||14|52867||2014-01-07|1462
2|3|10|65580||21|52867||2014-01-07|1462
3|3|21|65580||18|52867||2014-01-07|1462
1|3|20|64933||22|93022||2014-01-07|1462
2|3|21|64933||5|93022||2014-01-07|1462
3|3|21|64933||14|93022||2014-01-07|1462
1|2|21|96312||8|69547||2014-01-07|1462
2|2|21|96312||14|69547||2014-01-07|1462
1|3|20|95820||22|98991||2014-01-07|1462
2|3|21|95820||12|98991||2014-01-07|1462
3|3|21|95820||8|98991||2014-01-07|1462
1|3|11|99672||21|52860||2014-01-07|1462
2|3|21|99672||15|52860||2014-01-07|1462
3|3|21|99672||16|52860||2014-01-07|1462
1|2|21|77618|58878|17|65425|56013|2014-01-07|1462
2|2|21|77618|58878|18|65425|56013|2014-01-07|1462
1|2|21|63258|66513|11|78508|90746|2014-01-07|1462
2|2|21|63258|66513|12|78508|90746|2014-01-07|1462
1|2|21|87762||19|59639||2014-01-07|1462
2|2|23|87762||21|59639||2014-01-07|1462
1|2|21|51599||15|68718||2014-01-07|1462
2|2|21|51599||19|68718||2014-01-07|1462
1|2|21|67871||8|38708||2014-01-07|1462
2|2|21|67871||11|38708||2014-01-07|1462
1|2|21|96312||13|95820||2014-01-07|1462
2|2|21|96312||15|95820||2014-01-07|1462
1|2|21|84992||19|68381||2014-01-07|1462
2|2|21|84992||7|68381||2014-01-07|1462
1|2|21|98828||18|74598||2014-01-07|1462
2|2|21|98828||9|74598||2014-01-07|1462
1|2|21|64933||13|99672||2014-01-07|1462
2|2|21|64933||9|99672||2014-01-07|1462
1|2|21|65580||16|67810||2014-01-07|1462
2|2|23|65580||21|67810||2014-01-07|1462
1|2|21|67871||10|53153||2014-01-08|1462
2|2|21|67871||13|53153||2014-01-08|1462
1|2|21|61851|20296|8|68441|67158|2014-01-08|1462
2|2|21|61851|20296|16|68441|67158|2014-01-08|1462
1|2|21|70333|62844|11|65425|35131|2014-01-08|1462
2|2|21|70333|62844|10|65425|35131|2014-01-08|1462
1|2|21|67866|95396|9|15697|52071|2014-01-08|1462
2|2|21|67866|95396|13|15697|52071|2014-01-08|1462
1|2|21|91280||13|65580||2014-01-08|1462
2|2|21|91280||10|65580||2014-01-08|1462
1|3|21|70308|53150|15|83419|71391|2014-01-08|1462
2|3|15|70308|53150|21|83419|71391|2014-01-08|1462
3|3|21|70308|53150|11|83419|71391|2014-01-08|1462
1|3|21|74326|15380|9|67172|30342|2014-01-08|1462
2|3|10|74326|15380|21|67172|30342|2014-01-08|1462
3|3|21|74326|15380|15|67172|30342|2014-01-08|1462
1|2|21|50292|51304|11|51615|51602|2014-01-08|1462
2|2|21|50292|51304|14|51615|51602|2014-01-08|1462
1|2|21|3907|61435|18|14722|10360|2014-01-08|1462
2|2|21|3907|61435|19|14722|10360|2014-01-08|1462
1|2|21|12459|12870|14|85203|72316|2014-01-08|1462
2|2|21|12459|12870|7|85203|72316|2014-01-08|1462
1|2|21|52774|87473|18|56013|76249|2014-01-08|1462
2|2|21|52774|87473|13|56013|76249|2014-01-08|1462
1|3|13|98828||21|51613||2014-01-08|1462
2|3|21|98828||17|51613||2014-01-08|1462
3|3|21|98828||16|51613||2014-01-08|1462
1|3|16|61427||21|51649||2014-01-08|1462
2|3|21|61427||10|51649||2014-01-08|1462
3|3|21|61427||18|51649||2014-01-08|1462
1|2|24|54026|54527|22|44414|92980|2014-01-08|1462
2|2|21|54026|54527|12|44414|92980|2014-01-08|1462
1|2|21|53924||18|52030||2014-01-08|1462
2|2|21|53924||11|52030||2014-01-08|1462
1|2|21|57595|47498|13|51624|53851|2014-01-08|1462
2|2|21|57595|47498|19|51624|53851|2014-01-08|1462
1|2|21|50152||11|54346||2014-01-08|1462
2|2|21|50152||18|54346||2014-01-08|1462
1|2|21|18228||13|91598||2014-01-08|1462
2|2|21|18228||15|91598||2014-01-08|1462
1|2|21|57971||10|87762||2014-01-08|1462
2|2|21|57971||15|87762||2014-01-08|1462
1|2|21|95281|86088|11|63305|95878|2014-01-08|1462
2|2|21|95281|86088|11|63305|95878|2014-01-08|1462
1|2|23|84992||21|95780||2014-01-08|1462
2|2|21|84992||12|95780||2014-01-08|1462
1|2|21|52273|54361|14|70969|26238|2014-01-08|1462
2|2|21|52273|54361|15|70969|26238|2014-01-08|1462
1|2|21|43851|16981|16|95620|66961|2014-01-08|1462
2|2|21|43851|16981|12|95620|66961|2014-01-08|1462
1|2|21|50858||19|25831||2014-01-08|1462
2|2|21|50858||16|25831||2014-01-08|1462
1|2|21|83064||11|18998||2014-01-08|1462
2|2|21|83064||11|18998||2014-01-08|1462
1|2|21|30342|68441|14|74831|79061|2014-01-08|1462
2|2|23|30342|68441|21|74831|79061|2014-01-08|1462
1|2|21|34890||12|15828||2014-01-08|1462
2|2|21|34890||11|15828||2014-01-08|1462
1|2|21|53938||19|58271||2014-01-08|1462
2|2|21|53938||18|58271||2014-01-08|1462
1|2|21|55380||10|50905||2014-01-08|1462
2|2|21|55380||8|50905||2014-01-08|1462
1|2|21|28745|10360|9|87257|73260|2014-01-08|1462
2|2|21|28745|10360|10|87257|73260|2014-01-08|1462
1|2|21|10650|7065|16|58878|71391|2014-01-08|1462
2|2|21|10650|7065|10|58878|71391|2014-01-08|1462
1|2|21|76908||17|35662||2014-01-08|1462
2|2|21|76908||11|35662||2014-01-08|1462
1|2|21|70333|54413|17|63258|66513|2014-01-08|1462
2|2|21|70333|54413|16|63258|66513|2014-01-08|1462
1|3|21|92609|55285|15|33261|88699|2014-01-08|1462
2|3|19|92609|55285|21|33261|88699|2014-01-08|1462
3|3|21|92609|55285|15|33261|88699|2014-01-08|1462
1|2|21|15417||18|78605||2014-01-08|1462
2|2|21|15417||6|78605||2014-01-08|1462
1|3|21|89785||18|64933||2014-01-08|1462
2|3|16|89785||21|64933||2014-01-08|1462
3|3|22|89785||20|64933||2014-01-08|1462
1|2|21|76594||11|84062||2014-01-08|1462
2|2|21|76594||13|84062||2014-01-08|1462
1|2|21|54431||19|10319||2014-01-08|1462
2|2|21|54431||15|10319||2014-01-08|1462
1|2|21|66644||8|52929||2014-01-08|1462
2|2|21|66644||6|52929||2014-01-08|1462
1|2|21|50884|49765|10|38708|42364|2014-01-08|1462
2|2|21|50884|49765|7|38708|42364|2014-01-08|1462
1|3|21|78288||7|43256||2014-01-08|1462
2|3|17|78288||21|43256||2014-01-08|1462
3|3|21|78288||16|43256||2014-01-08|1462
1|2|21|11959||13|55280||2014-01-08|1462
2|2|5|11959||0|55280||2014-01-08|1462
1|2|21|52931|13189|13|51263|51797|2014-01-08|1462
2|2|21|52931|13189|16|51263|51797|2014-01-08|1462
1|1|11|96312||1|54511||2014-01-08|1462
1|1|-|67810|93074|-|11606|53676|2014-01-08|1462
1|2|21|74831|54785|12|77618|58878|2014-01-08|1462
2|2|21|74831|54785|18|77618|58878|2014-01-08|1462
1|2|21|67172|67158|15|90746|73260|2014-01-08|1462
2|2|21|67172|67158|10|90746|73260|2014-01-08|1462
1|3|22|54361|55874|20|52280|50851|2014-01-08|1462
2|3|17|54361|55874|21|52280|50851|2014-01-08|1462
3|3|21|54361|55874|16|52280|50851|2014-01-08|1462
1|2|21|11777|47277|12|42722|52958|2014-01-08|1462
2|2|21|11777|47277|18|42722|52958|2014-01-08|1462
1|3|13|66990||21|54513||2014-01-08|1462
2|3|21|66990||16|54513||2014-01-08|1462
3|3|21|66990||14|54513||2014-01-08|1462
1|2|21|12903||12|14587||2014-01-08|1462
2|2|21|12903||17|14587||2014-01-08|1462
1|2|21|99559|36009|17|12356|50720|2014-01-08|1462
2|2|21|99559|36009|9|12356|50720|2014-01-08|1462
1|2|21|35642||16|60835||2014-01-08|1462
2|2|21|35642||18|60835||2014-01-08|1462
1|2|21|10389|58910|17|53851|60805|2014-01-08|1462
2|2|21|10389|58910|15|53851|60805|2014-01-08|1462
1|2|21|95396|80939|17|54527|43851|2014-01-08|1462
2|2|21|95396|80939|16|54527|43851|2014-01-08|1462
1|2|21|53582|70162|17|52081|55470|2014-01-08|1462
2|2|21|53582|70162|14|52081|55470|2014-01-08|1462
1|2|21|93496||13|53753||2014-01-08|1462
2|2|21|93496||16|53753||2014-01-08|1462
1|2|21|52774|52273|9|3907|92609|2014-01-08|1462
2|2|21|52774|52273|9|3907|92609|2014-01-08|1462
1|2|24|14107||22|14869||2014-01-08|1462
2|2|11|14107||4|14869||2014-01-08|1462
1|2|21|70969|90623|17|39276|84007|2014-01-08|1462
2|2|21|70969|90623|19|39276|84007|2014-01-08|1462
1|2|21|63707||10|93627||2014-01-08|1462
2|2|21|63707||11|93627||2014-01-08|1462
1|2|21|51620|95281|11|74326|53150|2014-01-08|1462
2|2|21|51620|95281|8|74326|53150|2014-01-08|1462
1|3|14|54805|54171|21|51624|65233|2014-01-08|1462
2|3|21|54805|54171|17|51624|65233|2014-01-08|1462
3|3|21|54805|54171|18|51624|65233|2014-01-08|1462
1|2|21|22455||9|53392||2014-01-08|1462
2|2|21|22455||16|53392||2014-01-08|1462
1|2|21|54272|14729|14|50730|50739|2014-01-08|1462
2|2|21|54272|14729|12|50730|50739|2014-01-08|1462
1|2|21|51729|69809|16|53924|67068|2014-01-08|1462
2|2|21|51729|69809|17|53924|67068|2014-01-08|1462
1|2|21|47181||11|32722||2014-01-08|1462
2|2|21|47181||11|32722||2014-01-08|1462
1|2|21|35357|54522|14|54785|28492|2014-01-08|1462
2|2|21|35357|54522|8|54785|28492|2014-01-08|1462
1|2|21|47498|72316|14|52929|55285|2014-01-08|1462
2|2|21|47498|72316|12|52929|55285|2014-01-08|1462
