game|games_played|p1_score|p1a_pid|p1b_pid|p2_score|p2a_pid|p2b_pid|t_date|t_id
1|1|-|60120||-|94672||2014-02-18|257
1|2|21|91469||17|72129||2014-02-18|257
2|2|21|91469||13|72129||2014-02-18|257
1|2|21|57150||12|82173||2014-02-18|257
2|2|21|57150||13|82173||2014-02-18|257
1|2|21|96429||5|79850||2014-02-18|257
2|2|21|96429||3|79850||2014-02-18|257
1|1|-|98012||-|94859||2014-02-18|257
1|2|21|90459||17|58402||2014-02-18|257
2|2|21|90459||12|58402||2014-02-18|257
1|2|21|64555||17|50606||2014-02-18|257
2|2|21|64555||17|50606||2014-02-18|257
1|2|21|82314||10|61257||2014-02-18|257
2|2|21|82314||12|61257||2014-02-18|257
1|1|-|95670||-|93118||2014-02-18|257
1|1|-|63012||-|59521||2014-02-18|257
1|2|21|79258||13|90876||2014-02-18|257
2|2|21|79258||16|90876||2014-02-18|257
1|2|21|95819||10|95277||2014-02-18|257
2|2|21|95819||18|95277||2014-02-18|257
1|3|21|91469||16|99343||2014-02-18|257
2|3|14|91469||21|99343||2014-02-18|257
3|3|21|91469||19|99343||2014-02-18|257
1|1|-|57150|80894|-|94672|59521|2014-02-18|257
1|1|-|79850|95819|-|94859|93118|2014-02-18|257
1|2|21|60120|79258|16|82314|90876|2014-02-18|257
2|2|21|60120|79258|11|82314|90876|2014-02-18|257
1|2|21|96429||8|60120||2014-02-19|257
2|2|21|96429||2|60120||2014-02-19|257
1|2|21|57150||16|82314||2014-02-19|257
2|2|21|57150||8|82314||2014-02-19|257
1|2|21|91469||18|64555||2014-02-19|257
2|2|21|91469||18|64555||2014-02-19|257
1|2|21|90459||13|98012||2014-02-19|257
2|2|21|90459||14|98012||2014-02-19|257
1|2|21|71252||7|79258||2014-02-19|257
2|2|21|71252||9|79258||2014-02-19|257
1|3|22|80894||20|95819||2014-02-19|257
2|3|19|80894||21|95819||2014-02-19|257
3|3|21|80894||16|95819||2014-02-19|257
1|2|21|74742||10|95670||2014-02-19|257
2|2|21|74742||13|95670||2014-02-19|257
1|2|21|63012||13|98094||2014-02-19|257
2|2|21|63012||9|98094||2014-02-19|257
1|1|-|79258|95819|-|98094|93118|2014-02-19|257
1|2|21|61257|91469|12|60120|79850|2014-02-19|257
2|2|21|61257|91469|17|60120|79850|2014-02-19|257
1|2|21|98012|95277|5|60120|79258|2014-02-19|257
2|2|21|98012|95277|13|60120|79258|2014-02-19|257
1|2|21|64555|63012|13|82173|98094|2014-02-19|257
2|2|21|64555|63012|17|82173|98094|2014-02-19|257
1|2|21|58402|71252|18|57150|80894|2014-02-19|257
2|2|21|58402|71252|17|57150|80894|2014-02-19|257
1|2|21|91469|95670|17|79850|95819|2014-02-19|257
2|2|21|91469|95670|8|79850|95819|2014-02-19|257
1|2|21|96429||7|57150||2014-02-20|257
2|2|21|96429||9|57150||2014-02-20|257
1|2|21|90459||12|91469||2014-02-20|257
2|2|21|90459||8|91469||2014-02-20|257
1|2|21|74742||10|80894||2014-02-20|257
2|2|21|74742||14|80894||2014-02-20|257
1|2|21|71252||19|63012||2014-02-20|257
2|2|21|71252||15|63012||2014-02-20|257
1|1|-|58402|57150|-|94859|82173|2014-02-20|257
1|2|21|61257|91469|18|82314|99343|2014-02-20|257
2|2|21|61257|91469|19|82314|99343|2014-02-20|257
1|2|21|58402|71252|9|91469|95670|2014-02-20|257
2|2|21|58402|71252|16|91469|95670|2014-02-20|257
1|2|21|64555|63012|18|98012|95277|2014-02-20|257
2|2|21|64555|63012|17|98012|95277|2014-02-20|257
1|2|21|71252||17|74742||2014-02-21|257
2|2|21|71252||18|74742||2014-02-21|257
1|2|21|58402|57150|15|61257|91469|2014-02-21|257
2|2|21|58402|57150|10|61257|91469|2014-02-21|257
1|2|21|71252|80894|4|79258|95819|2014-02-21|257
2|2|21|71252|80894|10|79258|95819|2014-02-21|257
1|3|16|96429||21|90459||2014-02-21|257
2|3|21|96429||12|90459||2014-02-21|257
3|3|21|96429||10|90459||2014-02-21|257
1|2|21|58402|71252|14|64555|63012|2014-02-21|257
2|2|21|58402|71252|19|64555|63012|2014-02-21|257
