game|games_played|p1_score|p1a_pid|p1b_pid|p2_score|p2a_pid|p2b_pid|t_date|t_id
1|2|21|92042||16|74573||2018-11-14|3346
2|2|21|92042||18|74573||2018-11-14|3346
1|2|21|99908||14|73269||2018-11-14|3346
2|2|21|99908||11|73269||2018-11-14|3346
1|2|21|56467||10|65262||2018-11-14|3346
2|2|21|56467||17|65262||2018-11-14|3346
1|2|21|56534||3|89654||2018-11-14|3346
2|2|21|56534||17|89654||2018-11-14|3346
1|2|21|56897||11|85954||2018-11-14|3346
2|2|21|56897||8|85954||2018-11-14|3346
1|1|-|66629||-|56467||2018-11-14|3346
1|2|21|56897||16|93747||2018-11-14|3346
2|2|21|56897||11|93747||2018-11-14|3346
1|2|21|61771||12|58231||2018-11-14|3346
2|2|21|61771||16|58231||2018-11-14|3346
1|3|20|83290||22|75607||2018-11-14|3346
2|3|21|83290||5|75607||2018-11-14|3346
3|3|22|83290||20|75607||2018-11-14|3346
1|3|21|93539||13|85213||2018-11-14|3346
2|3|10|93539||21|85213||2018-11-14|3346
3|3|21|93539||10|85213||2018-11-14|3346
1|2|21|74008||9|62643||2018-11-14|3346
2|2|21|74008||5|62643||2018-11-14|3346
1|2|21|99908||15|59650||2018-11-14|3346
2|2|21|99908||4|59650||2018-11-14|3346
1|2|21|61771||11|70199||2018-11-14|3346
2|2|6|61771||1|70199||2018-11-14|3346
1|2|21|93539||9|92042||2018-11-14|3346
2|2|21|93539||5|92042||2018-11-14|3346
1|2|21|73244|93983|13|61771|58337|2018-11-15|3346
2|2|21|73244|93983|16|61771|58337|2018-11-15|3346
1|2|21|77524|67759|13|96987|86624|2018-11-15|3346
2|2|21|77524|67759|13|96987|86624|2018-11-15|3346
1|3|21|96690||15|55206||2018-11-15|3346
2|3|17|96690||21|55206||2018-11-15|3346
3|3|21|96690||10|55206||2018-11-15|3346
1|2|21|80203||15|94426||2018-11-15|3346
2|2|21|80203||12|94426||2018-11-15|3346
1|2|21|35374|89666|8|56409|99891|2018-11-15|3346
2|2|21|35374|89666|13|56409|99891|2018-11-15|3346
1|2|21|61244||13|57304||2018-11-15|3346
2|2|21|61244||9|57304||2018-11-15|3346
1|2|21|54443|39172|12|65723|57906|2018-11-15|3346
2|2|21|54443|39172|15|65723|57906|2018-11-15|3346
1|2|21|55770||5|98373||2018-11-15|3346
2|2|21|55770||15|98373||2018-11-15|3346
1|3|21|76370||16|74051||2018-11-15|3346
2|3|20|76370||22|74051||2018-11-15|3346
3|3|21|76370||10|74051||2018-11-15|3346
1|3|19|96690||21|48202||2018-11-15|3346
2|3|21|96690||16|48202||2018-11-15|3346
3|3|21|96690||18|48202||2018-11-15|3346
1|2|21|82409||18|55770||2018-11-15|3346
2|2|21|82409||19|55770||2018-11-15|3346
1|2|21|70930||15|63369||2018-11-15|3346
2|2|21|70930||9|63369||2018-11-15|3346
1|1|-|96665|65846|-|96451|61563|2018-11-15|3346
1|2|21|91088|98804|16|60246|57206|2018-11-15|3346
2|2|21|91088|98804|8|60246|57206|2018-11-15|3346
1|2|21|54443|71651|13|93939|86639|2018-11-15|3346
2|2|21|54443|71651|11|93939|86639|2018-11-15|3346
1|2|21|94149|63369|19|79334|92277|2018-11-15|3346
2|2|22|94149|63369|20|79334|92277|2018-11-15|3346
1|3|19|98118||21|71797||2018-11-15|3346
2|3|21|98118||16|71797||2018-11-15|3346
3|3|22|98118||20|71797||2018-11-15|3346
1|3|13|59650|96451|21|69615|84777|2018-11-15|3346
2|3|21|59650|96451|9|69615|84777|2018-11-15|3346
3|3|21|59650|96451|8|69615|84777|2018-11-15|3346
