game|games_played|p1_score|p1a_pid|p1b_pid|p2_score|p2a_pid|p2b_pid|t_date|t_id
1|2|21|83742||14|69094||2018-11-14|3406
2|2|21|83742||10|69094||2018-11-14|3406
1|2|21|69544||18|89538||2018-11-14|3406
2|2|21|69544||9|89538||2018-11-14|3406
1|2|21|63525||8|72106||2018-11-14|3406
2|2|21|63525||10|72106||2018-11-14|3406
1|2|21|67066||1|54994||2018-11-14|3406
2|2|21|67066||1|54994||2018-11-14|3406
1|2|21|73808||15|93003||2018-11-14|3406
2|2|21|73808||10|93003||2018-11-14|3406
1|3|16|75642||21|85885||2018-11-14|3406
2|3|21|75642||14|85885||2018-11-14|3406
3|3|21|75642||12|85885||2018-11-14|3406
1|2|21|80717||4|96708||2018-11-14|3406
2|2|21|80717||15|96708||2018-11-14|3406
1|2|21|93923||2|64060||2018-11-14|3406
2|2|21|93923||4|64060||2018-11-14|3406
1|2|21|61183||15|99924||2018-11-14|3406
2|2|21|61183||12|99924||2018-11-14|3406
1|2|21|80594||12|72995||2018-11-14|3406
2|2|21|80594||8|72995||2018-11-14|3406
1|3|12|85632||21|58547||2018-11-14|3406
2|3|21|85632||17|58547||2018-11-14|3406
3|3|21|85632||13|58547||2018-11-14|3406
1|3|17|77384||21|70006||2018-11-14|3406
2|3|21|77384||14|70006||2018-11-14|3406
3|3|21|77384||16|70006||2018-11-14|3406
1|2|21|52725||12|72936||2018-11-14|3406
2|2|21|52725||14|72936||2018-11-14|3406
1|2|21|97666||13|57582||2018-11-14|3406
2|2|21|97666||18|57582||2018-11-14|3406
1|2|21|64900||8|80465||2018-11-14|3406
2|2|21|64900||11|80465||2018-11-14|3406
1|3|21|98459||16|99529||2018-11-14|3406
2|3|16|98459||21|99529||2018-11-14|3406
3|3|21|98459||10|99529||2018-11-14|3406
1|1|-|91527||-|92645||2018-11-14|3406
1|1|-|64028||-|78786||2018-11-14|3406
1|2|21|85932||11|75734||2018-11-14|3406
2|2|21|85932||6|75734||2018-11-14|3406
1|2|21|75628||5|82103||2018-11-14|3406
2|2|21|75628||5|82103||2018-11-14|3406
1|2|21|96882||13|86990||2018-11-14|3406
2|2|21|96882||12|86990||2018-11-14|3406
1|2|21|67871||7|98638||2018-11-14|3406
2|2|21|67871||6|98638||2018-11-14|3406
1|2|21|63253||6|56379||2018-11-14|3406
2|2|21|63253||18|56379||2018-11-14|3406
