country|pid|rank|week
ITA|1610454|269|18173
FIN|165978|270|18173
IND|1493329|271|18173
SGP|1201768|272|18173
CAN|349948|273|18173
SRI|109226|274|18173
JAM|163340|275|18173
DEN|1239935|276|18173
INA|468447|277|18173
IND|1443009|278|18173
IND|349908|279|18173
CHI|1606745|280|18173
INA|656230|281|18173
AUT|348403|282|18173
TTO|116787|283|18173
BRA|668768|284|18173
KAZ|1276905|285|18173
IND|1252418|286|18173
GER|1663886|287|18173
TPE|1586571|287|18173
AUS|1281408|289|18173
AUS|163801|290|18173
GUA|147573|291|18173
MEX|1080044|292|18173
THA|1349299|293|18173
USA|347217|294|18173
CHN|1928869|294|18173
INA|313452|296|18173
ZAM|471101|297|18173
USA|109144|298|18173
CHN|353093|299|18173
AUS|2187150|300|18173
DEN|1272731|301|18173
THA|464975|302|18173
TPE|1617833|303|18173
DOM|116493|304|18173
DEN|1273052|305|18173
IND|1573456|306|18173
TPE|816278|307|18173
USA|455885|308|18173
IND|349892|309|18173
USA|1948777|310|18173
DEN|1664448|311|18173
MAS|243523|312|18173
JAM|147248|313|18173
POL|311503|314|18173
INA|353096|315|18173
NED|1043308|315|18173
TUR|289098|317|18173
RUS|1250536|318|18173
INA|1272089|319|18173
GER|982658|320|18173
BRA|1520388|321|18173
BUL|664839|322|18173
INA|108865|323|18173
MAS|339270|324|18173
NGR|1148863|325|18173
JPN|2062434|326|18173
ENG|933136|327|18173
UKR|1622985|328|18173
PER|1436919|329|18173
TPE|1283694|330|18173
ALG|731368|331|18173
MRI|118490|332|18173
MDV|393173|333|18173
CAN|1170753|334|18173
TPE|1198058|335|18173
CUB|116565|336|18173
MEX|147451|337|18173
ENG|1223551|338|18173
ALG|1428485|339|18173
IND|108489|340|18173
INA|467171|340|18173
TUR|108147|342|18173
AZE|116433|343|18173
ALG|163742|344|18173
INA|2086882|345|18173
DEN|2617397|346|18173
LUX|277773|347|18173
POL|1669860|348|18173
IND|347215|349|18173
SGP|1044276|350|18173
VIE|116063|351|18173
DOM|118221|352|18173
AUS|239518|352|18173
IND|1035487|352|18173
KOR|1739749|352|18173
DOM|854678|356|18173
ENG|1005448|357|18173
TPE|890769|358|18173
ESA|1183118|359|18173
MEX|1083259|360|18173
CMR|1161049|361|18173
JPN|391557|362|18173
BEL|671628|363|18173
IND|2120557|364|18173
DEN|2380540|365|18173
CAN|872601|366|18173
GHA|163734|367|18173
KAZ|196530|368|18173
MAR|664766|369|18173
SEY|163744|370|18173
VIE|2098835|370|18173
CIV|1161310|372|18173
TPE|666517|373|18173
MAS|1700680|374|18173
DEN|1967821|375|18173
IND|107855|376|18173
AUS|144207|376|18173
JPN|2471103|376|18173
CIV|1991775|379|18173
DEN|361276|380|18173
ALG|163745|381|18173
THA|1691081|382|18173
SCO|208041|383|18173
THA|1194534|384|18173
UGA|163534|385|18173
UKR|1224750|386|18173
ITA|1610339|387|18173
SWE|301396|388|18173
SUI|946347|389|18173
MAS|1211942|390|18173
ENG|939154|391|18173
MAS|280255|392|18173
CHI|116503|393|18173
PER|1436855|394|18173
MRI|1165937|395|18173
DOM|1307218|396|18173
INA|118664|397|18173
NGR|934601|397|18173
TUR|276124|399|18173
LUX|694938|400|18173
BAR|261739|401|18173
EST|251966|402|18173
DOM|347693|403|18173
IND|1205039|404|18173
CMR|1160889|405|18173
MYA|2058687|406|18173
INA|1703121|407|18173
RUS|1340693|408|18173
IRI|220010|409|18173
DEN|1272633|410|18173
ITA|817052|411|18173
ITA|1060828|411|18173
INA|2435385|413|18173
ZIM|2482776|414|18173
INA|195564|415|18173
BEL|113594|416|18173
PER|1462123|417|18173
MRI|1166035|418|18173
UZB|261716|419|18173
GHA|1025991|420|18173
IND|2372011|421|18173
CRO|163882|422|18173
BEL|1148263|423|18173
CZE|1523383|424|18173
RUS|868354|425|18173
DEN|946018|425|18173
TPE|1261482|427|18173
MLT|1606374|428|18173
ENG|1438642|429|18173
AUT|728289|430|18173
USA|1419130|431|18173
NEP|289096|432|18173
CAN|1187492|433|18173
ENG|2376879|434|18173
AUS|1272218|435|18173
AZE|1248820|436|18173
TPE|347219|437|18173
MAS|2215619|437|18173
USA|2075532|439|18173
ENG|815003|440|18173
MAS|930688|441|18173
ARG|951525|442|18173
NZL|337496|443|18173
POL|854828|444|18173
UGA|117912|445|18173
UGA|117916|445|18173
BRA|1222670|445|18173
UGA|1158487|445|18173
INA|1561403|445|18173
IND|1301998|450|18173
GER|982659|451|18173
BAR|261742|452|18173
FRA|674123|453|18173
IND|286556|454|18173
ESP|1304183|455|18173
BAR|1007578|456|18173
INA|216490|457|18173
BOT|280285|458|18173
USA|109167|459|18173
CMR|1151421|460|18173
NZL|392823|461|18173
NEP|109236|462|18173
USA|109135|463|18173
JPN|654113|463|18173
THA|1591439|463|18173
USA|107867|466|18173
INA|109295|466|18173
VIE|109232|468|18173
ALG|2322602|469|18173
RUS|407531|470|18173
JPN|1070856|470|18173
FRA|1451568|472|18173
RUS|109087|473|18173
CHN|1929271|473|18173
CHN|2481091|473|18173
BEN|1990573|476|18173
HUN|2021945|477|18173
RUS|1165043|478|18173
USA|1007431|479|18173
MAS|1548846|480|18173
ARG|351891|481|18173
AUS|1256667|482|18173
DOM|1181718|483|18173
TPE|1176952|484|18173
IND|1654921|484|18173
VIE|1452102|484|18173
IND|2091415|484|18173
POL|409596|488|18173
MAS|1212198|488|18173
TPE|666557|490|18173
BRN|361265|491|18173
AUS|116951|492|18173
ZAM|116372|493|18173
DEN|371751|493|18173
JAM|163339|493|18173
GER|197910|496|18173
SLO|319923|497|18173
BRU|195666|498|18173
PAN|1188959|499|18173
SUR|879305|500|18173
PAK|1061597|501|18173
USA|109143|502|18173
IND|2304594|503|18173
INA|116053|504|18173
IND|367741|505|18173
MDV|2169205|506|18173
IND|673040|507|18173
NOR|886096|508|18173
CIV|1994745|509|18173
CIV|2515485|509|18173
MAS|2215468|511|18173
NZL|1414983|512|18173
NZL|2239944|512|18173
SGP|1336448|514|18173
MYA|1522107|515|18173
NGR|163736|516|18173
BRA|404624|516|18173
BRA|404625|516|18173
ISR|306546|516|18173
INA|2047668|516|18173
ALG|2910036|516|18173
JPN|2868836|516|18173
SGP|946078|523|18173
ITA|216298|524|18173
RUS|109078|525|18173
GER|108886|526|18173
HKG|1263280|527|18173
TTO|669052|528|18173
RUS|109059|529|18173
PAK|116419|529|18173
SRI|409867|529|18173
IND|1222588|529|18173
SWE|814281|533|18173
FRA|1995693|534|18173
MAC|1927647|535|18173
GHA|660698|536|18173
SRB|1607140|537|18173
DEN|206439|538|18173
TUR|276133|539|18173
KOR|107849|540|18173
KOR|115932|540|18173
KOR|115937|540|18173
KOR|874076|540|18173
KOR|1260472|540|18173
GER|2330439|540|18173
GER|2629540|540|18173
TUR|276135|547|18173
NZL|1458281|548|18173
GER|1663885|549|18173
CHN|1518174|550|18173
FIJ|163304|551|18173
IND|367739|551|18173
NZL|118065|553|18173
NZL|2540945|553|18173
COK|1575271|553|18173
NZL|419631|556|18173
NZL|1980961|556|18173
JAM|1240942|558|18173
KAZ|353121|559|18173
CHI|198985|560|18173
AUS|2498067|561|18173
NED|1113326|562|18173
IRI|113493|563|18173
DEN|361277|564|18173
MAR|990152|565|18173
ENG|2041022|566|18173
JPN|108320|567|18173
UKR|108700|567|18173
IRI|162118|567|18173
JPN|259005|567|18173
IRI|1029656|567|18173
