country|pid|rank|week
DEN|147387|1|17904
KOR|108069|2|17904
CHN|990139|3|17904
TPE|109227|4|17904
CHN|108456|5|17904
MAS|107832|6|17904
IND|216143|7|17904
CHN|109370|8|17904
HKG|109501|9|17904
JPN|157159|10|17904
INA|389169|11|17904
JPN|239769|12|17904
IND|161366|13|17904
INA|409860|14|17904
TPE|239492|15|17904
DEN|396249|16|17904
HKG|108463|17|17904
KOR|387378|18|17904
IND|216144|19|17904
THA|109388|20|17904
IND|108469|21|17904
DEN|108276|22|17904
FRA|108274|23|17904
INA|108457|24|17904
NED|315261|25|17904
KOR|116149|26|17904
THA|109371|27|17904
KOR|108082|28|17904
DEN|396247|29|17904
JPN|239514|30|17904
ENG|108290|31|17904
THA|409866|32|17904
BRA|199925|33|17904
CHN|143771|34|17904
FRA|197408|35|17904
CHN|195641|36|17904
TPE|109374|37|17904
JPN|391571|38|17904
MAS|107837|39|17904
HKG|279226|40|17904
MAS|318753|41|17904
HKG|108471|42|17904
THA|107873|43|17904
ESP|113583|44|17904
MAS|107859|45|17904
INA|195648|46|17904
RUS|108128|47|17904
DEN|194165|48|17904
ISR|108120|49|17904
MAS|107993|50|17904
IND|107852|51|17904
TPE|165523|52|17904
ENG|157020|53|17904
DEN|108272|54|17904
INA|468392|55|17904
DEN|243697|56|17904
GUA|109133|57|17904
JPN|314842|58|17904
FRA|113724|59|17904
IND|286558|60|17904
ENG|283430|61|17904
CAN|1121769|62|17904
CHN|868322|63|17904
THA|280244|64|17904
FIN|216637|65|17904
CHN|1928758|66|17904
MAS|243527|67|17904
THA|117986|68|17904
IND|646810|69|17904
FRA|116891|70|17904
IND|108863|71|17904
RUS|144219|72|17904
UKR|143603|73|17904
MAS|669250|74|17904
MAS|168997|75|17904
FIN|108141|76|17904
INA|107839|77|17904
IND|409861|78|17904
DEN|206076|79|17904
GER|108878|80|17904
VIE|107840|81|17904
ITA|108185|82|17904
KOR|284015|83|17904
EST|108118|84|17904
VIE|199895|85|17904
IND|654324|86|17904
HKG|194160|87|17904
IRL|664701|88|17904
INA|146440|89|17904
MRI|252669|90|17904
INA|468287|91|17904
HUN|199271|92|17904
JPN|1069030|93|17904
CRO|108310|94|17904
IND|108876|95|17904
CZE|109611|96|17904
IND|289094|97|17904
TUR|113773|98|17904
SWE|283428|99|17904
CHN|143772|100|17904
CZE|353119|101|17904
THA|313451|102|17904
FIN|165976|103|17904
JPN|109545|104|17904
SWE|370439|105|17904
FRA|674117|106|17904
JOR|361263|107|17904
SGP|674146|108|17904
GER|146260|109|17904
BEL|113602|110|17904
POL|113422|111|17904
NZL|366447|112|17904
FIN|165979|113|17904
CHN|1026182|114|17904
ESP|1060823|115|17904
IND|351015|116|17904
SRI|109243|117|17904
MAS|206104|118|17904
MEX|934596|119|17904
TPE|347689|120|17904
IND|108460|121|17904
MAS|148759|122|17904
NED|113627|123|17904
GER|355051|124|17904
POR|317463|125|17904
BUL|108946|126|17904
IND|1140253|127|17904
TUR|276131|128|17904
CUB|116485|129|17904
MAS|243522|130|17904
POL|108607|131|17904
GER|355050|132|17904
TPE|873873|133|17904
CHN|1030866|134|17904
CUB|165000|135|17904
IND|656879|136|17904
MEX|116168|137|17904
IRL|211736|138|17904
BRA|1080522|139|17904
VIE|1064926|140|17904
FRA|365890|141|17904
SLO|398144|142|17904
JPN|1561759|143|17904
IND|349918|144|17904
EGY|820520|145|17904
SCO|108324|146|17904
AUT|109620|147|17904
INA|453644|148|17904
GHA|163813|149|17904
INA|118630|150|17904
MAS|318750|151|17904
POR|394564|152|17904
CHN|655687|153|17904
MEX|147456|154|17904
JPN|109547|155|17904
ENG|1000287|156|17904
IND|1203560|157|17904
NGR|934600|158|17904
PER|315257|159|17904
MRI|252661|160|17904
TPE|107843|161|17904
CZE|815600|162|17904
JPN|391567|163|17904
DEN|1272764|164|17904
CAN|116856|165|17904
IND|349916|166|17904
TPE|141775|167|17904
JOR|116804|168|17904
LUX|108610|169|17904
KOR|115931|170|17904
CAN|2077262|171|17904
DEN|243698|172|17904
NGR|1144607|173|17904
EGY|163528|174|17904
PER|1462122|175|17904
EGY|1657058|176|17904
IND|349895|177|17904
UKR|108708|178|17904
DEN|318795|179|17904
CAN|2855841|180|17904
SUI|311209|181|17904
NOR|108182|182|17904
RUS|109088|183|17904
ITA|1067014|184|17904
MAS|168990|185|17904
NGR|934602|186|17904
THA|1176962|187|17904
SVK|728409|188|17904
FRA|1355035|189|17904
THA|1192211|190|17904
MDA|1202747|191|17904
IND|1205072|192|17904
IND|350990|193|17904
TPE|107865|194|17904
CZE|1220948|195|17904
GUA|1072493|196|17904
EGY|888393|197|17904
TPE|890740|198|17904
GER|277782|199|17904
BUL|465219|200|17904
BUL|393204|201|17904
MAS|361600|202|17904
AUS|163804|203|17904
AUT|384839|204|17904
IND|1443009|205|17904
ISR|306544|206|17904
TPE|860729|207|17904
PYF|197970|208|17904
USA|109002|209|17904
AUS|307253|210|17904
SVK|147441|211|17904
IND|259004|212|17904
ROU|387381|213|17904
KOR|115938|214|17904
UKR|108121|215|17904
IND|662890|216|17904
SGP|347214|217|17904
NZL|1359522|218|17904
INA|468476|219|17904
IND|349908|220|17904
GUA|116567|221|17904
SUR|206455|222|17904
TPE|1351253|223|17904
INA|307096|224|17904
ENG|2034339|225|17904
AUS|1588681|226|17904
INA|195653|227|17904
CHI|406280|228|17904
UKR|141154|229|17904
POL|113427|230|17904
SWE|369647|231|17904
GER|108860|232|17904
IND|349892|233|17904
INA|656114|234|17904
TPE|211373|235|17904
INA|453627|236|17904
IND|116420|237|17904
CZE|261717|238|17904
IRL|108292|239|17904
THA|1159930|240|17904
AZE|656056|241|17904
NEP|329588|242|17904
KOR|1739749|243|17904
ITA|108165|244|17904
JAM|278625|245|17904
FRA|393198|246|17904
IND|349912|247|17904
BRA|1520355|248|17904
CAN|349948|249|17904
NZL|239520|250|17904
JPN|163592|251|17904
CZE|108701|252|17904
USA|109144|253|17904
GUA|147573|254|17904
PER|1146166|255|17904
GRE|311222|256|17904
POL|222505|257|17904
IND|672937|258|17904
ENG|208047|259|17904
AUS|1206343|260|17904
SYR|868326|261|17904
ESP|401290|262|17904
TPE|1198058|263|17904
JPN|1069060|264|17904
AUS|113319|265|17904
TPE|1586571|266|17904
SUI|356052|267|17904
DEN|396250|268|17904
GER|359175|269|17904
BUL|108923|270|17904
ITA|1610454|271|17904
FIN|165978|272|17904
IND|1493329|273|17904
CAN|1338025|274|17904
TPE|1617833|275|17904
SRI|109226|276|17904
INA|146442|277|17904
JAM|163340|278|17904
UZB|261716|279|17904
DEN|1239935|280|17904
INA|468447|281|17904
KOR|1263193|282|17904
ISL|148194|283|17904
TPE|666517|284|17904
ZAM|985008|285|17904
INA|656230|286|17904
AUT|348403|287|17904
TTO|116787|288|17904
BRA|668768|289|17904
IND|1252418|290|17904
AUS|1281408|291|17904
AUS|163801|292|17904
MEX|1080044|293|17904
THA|1349299|294|17904
USA|347217|295|17904
CHN|1928869|295|17904
INA|313452|297|17904
CHN|353093|298|17904
AUS|2187150|299|17904
DEN|1272731|300|17904
THA|464975|301|17904
ALG|1428485|302|17904
DEN|1273052|303|17904
SGP|1201768|304|17904
IND|1573456|305|17904
MEX|147451|306|17904
TPE|816278|307|17904
ESA|1183118|307|17904
USA|1948777|309|17904
DEN|1664448|310|17904
MAS|243523|311|17904
POL|311503|312|17904
INA|353096|313|17904
TUR|289098|314|17904
RUS|1250536|315|17904
INA|1272089|316|17904
GER|982658|317|17904
BUL|664839|318|17904
INA|108865|319|17904
MAS|339270|320|17904
MAS|1026274|321|17904
ENG|933136|322|17904
UKR|1622985|323|17904
PER|1436919|324|17904
TPE|1283694|325|17904
ALG|731368|326|17904
DOM|116493|327|17904
MRI|118490|328|17904
GER|1663886|329|17904
CUB|116565|330|17904
ENG|1223551|331|17904
IND|108489|332|17904
INA|467171|332|17904
TUR|108147|334|17904
AZE|116433|335|17904
HKG|1263280|336|17904
ZAM|471101|337|17904
GHA|163734|338|17904
ALG|163742|339|17904
JAM|147248|340|17904
INA|2086882|341|17904
NGR|163736|342|17904
LUX|277773|343|17904
POL|1669860|344|17904
IND|347215|345|17904
PER|1436855|346|17904
FRA|674123|347|17904
RUS|109059|348|17904
VIE|116063|349|17904
DOM|118221|350|17904
AUS|239518|350|17904
IND|1035487|350|17904
ENG|1005448|353|17904
KOR|108076|354|17904
TPE|890769|355|17904
ENG|2376879|356|17904
CAN|1170753|357|17904
MEX|1083259|357|17904
CMR|1161049|359|17904
JPN|391557|360|17904
BEL|671628|361|17904
TPE|347219|362|17904
MDV|393173|363|17904
DEN|2380540|364|17904
CAN|872601|365|17904
MAR|664766|366|17904
USA|1419130|367|17904
SEY|163744|368|17904
VIE|2098835|368|17904
MAS|1700680|370|17904
DEN|1967821|371|17904
SRI|409867|372|17904
RUS|109087|373|17904
IND|107855|374|17904
AUS|144207|374|17904
JPN|2471103|374|17904
EST|251966|377|17904
GHA|1025991|378|17904
DEN|361276|379|17904
ALG|163745|380|17904
THA|1691081|381|17904
SCO|208041|382|17904
THA|1194534|383|17904
INA|216490|384|17904
UGA|163534|385|17904
BRA|1520388|385|17904
UKR|1224750|387|17904
ITA|1610339|388|17904
SWE|301396|389|17904
NGR|934601|390|17904
SUI|946347|391|17904
MAS|1211942|392|17904
ENG|939154|393|17904
MAS|280255|394|17904
CHI|116503|395|17904
JPN|391554|396|17904
KAZ|1276905|397|17904
NGR|1148863|398|17904
MRI|1165937|399|17904
DOM|1307218|400|17904
INA|118664|401|17904
TUR|276124|402|17904
USA|109167|403|17904
TPE|109307|404|17904
LUX|694938|405|17904
BAR|261739|406|17904
TPE|1176952|407|17904
DOM|347693|408|17904
SGP|1044276|409|17904
IND|1205039|410|17904
