country|pid|rank|week
DEN|147387|1|17597
KOR|108069|2|17597
CHN|990139|3|17597
IND|216143|4|17597
CHN|108456|5|17597
TPE|109227|6|17597
MAS|107832|7|17597
CHN|109370|8|17597
IND|161366|9|17597
HKG|109501|10|17597
INA|409860|11|17597
JPN|157159|12|17597
INA|389169|13|17597
JPN|239769|14|17597
TPE|239492|15|17597
DEN|396249|16|17597
JPN|239514|17|17597
IND|108469|18|17597
KOR|387378|19|17597
HKG|108463|20|17597
IND|216144|21|17597
ENG|108290|22|17597
FRA|108274|23|17597
INA|108457|24|17597
DEN|108276|25|17597
THA|109388|26|17597
KOR|116149|27|17597
THA|109371|28|17597
DEN|396247|29|17597
THA|107873|30|17597
NED|315261|31|17597
THA|409866|32|17597
BRA|199925|33|17597
JPN|391571|34|17597
MAS|107837|35|17597
CHN|143771|36|17597
HKG|279226|37|17597
CHN|195641|38|17597
TPE|109374|39|17597
HKG|108471|40|17597
IND|107852|41|17597
KOR|108082|42|17597
FRA|197408|43|17597
ESP|113583|44|17597
MAS|318753|45|17597
MAS|107859|46|17597
DEN|194165|47|17597
INA|195648|48|17597
JPN|314842|49|17597
MAS|107993|50|17597
RUS|108128|51|17597
ISR|108120|52|17597
TPE|165523|53|17597
THA|280244|54|17597
DEN|108272|55|17597
VIE|107840|56|17597
INA|468392|57|17597
ENG|157020|58|17597
JPN|1069030|59|17597
MAS|168997|60|17597
GUA|109133|61|17597
FRA|116891|62|17597
CHN|868322|63|17597
DEN|243697|64|17597
IND|108863|65|17597
FRA|113724|66|17597
IND|286558|67|17597
ENG|283430|68|17597
CAN|1121769|69|17597
MAS|243527|70|17597
HKG|194160|71|17597
IRL|664701|72|17597
INA|107839|73|17597
UKR|143603|74|17597
FIN|216637|75|17597
RUS|144219|76|17597
CHN|143772|77|17597
KOR|284015|78|17597
EST|108118|79|17597
IND|409861|80|17597
INA|146440|81|17597
THA|117986|82|17597
ITA|108185|83|17597
VIE|199895|84|17597
IND|654324|85|17597
SRI|109243|86|17597
HUN|199271|87|17597
IND|646810|88|17597
GER|108878|89|17597
DEN|206076|90|17597
FIN|108141|91|17597
INA|468287|92|17597
MRI|252669|93|17597
MAS|669250|94|17597
GER|146260|95|17597
ESP|1060823|96|17597
CZE|109611|97|17597
CHN|1928758|98|17597
IND|108876|99|17597
IND|289094|100|17597
TUR|113773|101|17597
THA|313451|102|17597
JPN|109545|103|17597
IND|351015|104|17597
CRO|108310|105|17597
SCO|108324|106|17597
SWE|283428|107|17597
CZE|353119|108|17597
SGP|674146|109|17597
NZL|366447|110|17597
FIN|165979|111|17597
CHN|1026182|112|17597
FIN|165976|113|17597
POL|113422|114|17597
BEL|113602|115|17597
MAS|148759|116|17597
IND|108460|117|17597
MAS|206104|118|17597
JOR|361263|119|17597
TPE|347689|120|17597
BUL|108946|121|17597
TPE|873873|122|17597
GER|355051|123|17597
POR|317463|124|17597
GER|108860|125|17597
MEX|116168|126|17597
TUR|276131|127|17597
