country|date|pid|rank|week
DEN|12/21/2017|25831|1|16307
MAS|12/21/2017|50152|2|16307
IND|12/21/2017|93627|3|16307
CHN|12/21/2017|75787|4|16307
KOR|12/21/2017|54346|5|16307
CHN|12/21/2017|50906|6|16307
TPE|12/21/2017|34810|7|16307
CHN|12/21/2017|57945|8|16307
HKG|12/21/2017|45171|9|16307
IND|12/21/2017|83950|10|16307
TPE|12/21/2017|87375|11|16307
DEN|12/21/2017|91554|12|16307
INA|12/21/2017|95661|13|16307
INA|12/21/2017|73442|14|16307
HKG|12/21/2017|55280|15|16307
IND|12/21/2017|42776|16|16307
THA|12/21/2017|54513|17|16307
KOR|12/21/2017|11704|18|16307
DEN|12/21/2017|53753|19|16307
KOR|12/21/2017|65580|20|16307
JPN|12/21/2017|91280|21|16307
CHN|12/21/2017|12903|22|16307
ENG|12/21/2017|51613|23|16307
FRA|12/21/2017|52968|24|16307
INA|12/21/2017|14587|25|16307
THA|12/21/2017|29449|26|16307
TPE|12/21/2017|67100|27|16307
JPN|12/21/2017|57823|28|16307
JPN|12/21/2017|85394|29|16307
IND|12/21/2017|77003|30|16307
BRA|12/21/2017|96429|31|16307
KOR|12/21/2017|64933|32|16307
CHN|12/21/2017|71261|33|16307
CHN|12/21/2017|78828|34|16307
HKG|12/21/2017|14869|35|16307
NED|12/21/2017|76973|36|16307
ESP|12/21/2017|14251|37|16307
IND|12/21/2017|55351|38|16307
DEN|12/21/2017|83122|39|16307
GER|12/21/2017|50858|40|16307
HKG|12/21/2017|94780|41|16307
MAS|12/21/2017|81561|42|16307
DEN|12/21/2017|62855|43|16307
MAS|12/21/2017|89511|44|16307
MAS|12/21/2017|52030|45|16307
THA|12/21/2017|46874|46|16307
INA|12/21/2017|74154|47|16307
JPN|12/21/2017|89785|48|16307
IND|12/21/2017|25925|49|16307
TPE|12/21/2017|91665|50|16307
ENG|12/21/2017|88523|51|16307
HKG|12/21/2017|53054|52|16307
CHN|12/21/2017|95930|53|16307
IND|12/21/2017|53944|54|16307
VIE|12/21/2017|14107|55|16307
JPN|12/21/2017|64179|56|16307
ISR|12/21/2017|52953|57|16307
THA|12/21/2017|92508|58|16307
THA|12/21/2017|80800|59|16307
FRA|12/21/2017|89416|60|16307
RUS|12/21/2017|51682|61|16307
GER|12/21/2017|57297|62|16307
IND|12/21/2017|60967|63|16307
EST|12/21/2017|51531|64|16307
ITA|12/21/2017|15286|65|16307
MAS|12/21/2017|87117|66|16307
DEN|12/21/2017|96545|67|16307
JPN|12/21/2017|47181|68|16307
FIN|12/21/2017|92655|69|16307
DEN|12/21/2017|59420|70|16307
MAS|12/21/2017|73534|71|16307
SRI|12/21/2017|14004|72|16307
INA|12/21/2017|85956|73|16307
CRO|12/21/2017|52250|74|16307
GUA|12/21/2017|54897|75|16307
JPN|12/21/2017|97174|76|16307
FIN|12/21/2017|54484|77|16307
FRA|12/21/2017|38500|78|16307
MEX|12/21/2017|97943|79|16307
INA|12/21/2017|61797|80|16307
UKR|12/21/2017|20301|81|16307
ENG|12/21/2017|90842|82|16307
MAS|12/21/2017|93857|83|16307
IND|12/21/2017|85472|84|16307
TPE|12/21/2017|52983|85|16307
IND|12/21/2017|68870|86|16307
MAS|12/21/2017|52864|87|16307
FRA|12/21/2017|89506|88|16307
HUN|12/21/2017|56755|89|16307
MRI|12/21/2017|64839|90|16307
IND|12/21/2017|95489|91|16307
SCO|12/21/2017|54204|92|16307
INA|12/21/2017|81887|93|16307
INA|12/21/2017|50427|94|16307
CUB|12/21/2017|52364|95|16307
BEL|12/21/2017|25625|96|16307
MAS|12/21/2017|31871|97|16307
RUS|12/21/2017|93878|98|16307
IND|12/21/2017|81643|99|16307
GER|12/21/2017|20808|100|16307
SGP|12/21/2017|97703|101|16307
THA|12/21/2017|77315|102|16307
CAN|12/21/2017|93791|103|16307
IND|12/21/2017|95512|104|16307
CZE|12/21/2017|91381|105|16307
MAS|12/21/2017|69159|106|16307
DEN|12/21/2017|72555|107|16307
IND|12/21/2017|60649|108|16307
RUS|12/21/2017|60783|109|16307
THA|12/21/2017|58963|110|16307
GER|12/21/2017|55505|111|16307
IND|12/21/2017|68139|112|16307
ESP|12/21/2017|71221|113|16307
POR|12/21/2017|64631|114|16307
MAS|12/21/2017|92796|115|16307
POL|12/21/2017|53381|116|16307
FIN|12/21/2017|88856|117|16307
CZE|12/21/2017|95385|118|16307
BUL|12/21/2017|98589|119|16307
TPE|12/21/2017|39748|120|16307
INA|12/21/2017|55715|121|16307
JPN|12/21/2017|61799|122|16307
AUS|12/21/2017|58754|123|16307
JPN|12/21/2017|76185|124|16307
TPE|12/21/2017|91254|125|16307
NED|12/21/2017|48202|126|16307
GER|12/21/2017|77085|127|16307
MAS|12/21/2017|76106|128|16307
FIN|12/21/2017|62470|129|16307
IRL|12/21/2017|15241|130|16307
NOR|12/21/2017|20711|131|16307
CHN|12/21/2017|91204|132|16307
TPE|12/21/2017|67096|133|16307
IND|12/21/2017|62720|134|16307
AUT|12/21/2017|56274|135|16307
INA|12/21/2017|77437|136|16307
ENG|12/21/2017|56990|137|16307
INA|12/21/2017|86149|138|16307
KOR|12/21/2017|68718|139|16307
TPE|12/21/2017|59322|140|16307
JOR|12/21/2017|95425|141|16307
IRL|12/21/2017|85095|142|16307
USA|12/21/2017|60178|143|16307
INA|12/21/2017|76618|144|16307
CUB|12/21/2017|50573|145|16307
MAS|12/21/2017|79695|146|16307
POL|12/21/2017|37432|147|16307
VIE|12/21/2017|87628|148|16307
INA|12/21/2017|68647|149|16307
GUA|12/21/2017|93965|150|16307
TPE|12/21/2017|91461|151|16307
DEN|12/21/2017|54431|152|16307
EGY|12/21/2017|55949|153|16307
CHN|12/21/2017|57762|154|16307
AUS|12/21/2017|86104|155|16307
EGY|12/21/2017|72466|156|16307
ENG|12/21/2017|80147|157|16307
LUX|12/21/2017|92689|158|16307
ITA|12/21/2017|88613|159|16307
THA|12/21/2017|66321|160|16307
CHN|12/21/2017|91093|161|16307
DEN|12/21/2017|94838|162|16307
SCO|12/21/2017|62711|163|16307
FRA|12/21/2017|88054|164|16307
MEX|12/21/2017|93101|165|16307
