country|date|pid|rank|week
MAS|7/28/2016|50152|1|11602
CHN|7/28/2016|75787|2|11602
CHN|7/28/2016|50906|3|11602
DEN|7/28/2016|25831|4|11602
DEN|7/28/2016|54431|5|11602
CHN|7/28/2016|12903|6|11602
TPE|7/28/2016|34810|7|11602
INA|7/28/2016|14587|8|11602
KOR|7/28/2016|54346|9|11602
DEN|7/28/2016|53753|10|11602
IND|7/28/2016|93627|11|11602
HKG|7/28/2016|14869|12|11602
HKG|7/28/2016|45171|13|11602
GER|7/28/2016|50858|14|11602
ENG|7/28/2016|51613|15|11602
KOR|7/28/2016|64933|16|11602
HKG|7/28/2016|53054|17|11602
CHN|7/28/2016|23736|18|11602
IND|7/28/2016|55351|19|11602
INA|7/28/2016|74154|20|11602
HKG|7/28/2016|55280|21|11602
KOR|7/28/2016|65580|22|11602
INA|7/28/2016|73442|23|11602
THA|7/28/2016|54513|24|11602
JPN|7/28/2016|50905|25|11602
MAS|7/28/2016|50152|1|11602
CHN|7/28/2016|75787|2|11602
CHN|7/28/2016|50906|3|11602
DEN|7/28/2016|25831|4|11602
DEN|7/28/2016|54431|5|11602
CHN|7/28/2016|12903|6|11602
TPE|7/28/2016|34810|7|11602
INA|7/28/2016|14587|8|11602
KOR|7/28/2016|54346|9|11602
DEN|7/28/2016|53753|10|11602
IND|7/28/2016|93627|11|11602
HKG|7/28/2016|14869|12|11602
HKG|7/28/2016|45171|13|11602
GER|7/28/2016|50858|14|11602
ENG|7/28/2016|51613|15|11602
KOR|7/28/2016|64933|16|11602
HKG|7/28/2016|53054|17|11602
CHN|7/28/2016|23736|18|11602
IND|7/28/2016|55351|19|11602
INA|7/28/2016|74154|20|11602
HKG|7/28/2016|55280|21|11602
KOR|7/28/2016|65580|22|11602
INA|7/28/2016|73442|23|11602
THA|7/28/2016|54513|24|11602
JPN|7/28/2016|50905|25|11602
INA|7/28/2016|50427|26|11602
TPE|7/28/2016|67100|27|11602
IND|7/28/2016|83950|28|11602
MAS|7/28/2016|31871|29|11602
THA|7/28/2016|11959|30|11602
INA|7/28/2016|95661|31|11602
KOR|7/28/2016|11704|32|11602
VIE|7/28/2016|14107|33|11602
ESP|7/28/2016|14251|34|11602
MAS|7/28/2016|89511|35|11602
TPE|7/28/2016|87375|36|11602
IND|7/28/2016|42776|37|11602
IND|7/28/2016|77003|38|11602
FRA|7/28/2016|52968|39|11602
EST|7/28/2016|51531|40|11602
CHN|7/28/2016|78828|41|11602
CHN|7/28/2016|57945|42|11602
DEN|7/28/2016|83122|43|11602
DEN|7/28/2016|91554|44|11602
CHN|7/28/2016|71261|45|11602
JPN|7/28/2016|57823|46|11602
MAS|7/28/2016|92593|47|11602
SWE|7/28/2016|52325|48|11602
JPN|7/28/2016|85394|49|11602
GUA|7/28/2016|54897|50|11602
BEL|7/28/2016|51690|51|11602
ISR|7/28/2016|52953|52|11602
MAS|7/28/2016|52030|53|11602
JPN|7/28/2016|47181|54|11602
MAS|7/28/2016|76106|55|11602
CHN|7/28/2016|78769|56|11602
SGP|7/28/2016|52701|57|11602
JPN|7/28/2016|91280|58|11602
RUS|7/28/2016|51682|59|11602
POR|7/28/2016|57034|60|11602
POL|7/28/2016|48962|61|11602
CUB|7/28/2016|52364|62|11602
FRA|7/28/2016|89506|63|11602
BRA|7/28/2016|96429|64|11602
FRA|7/28/2016|89416|65|11602
DEN|7/28/2016|70937|66|11602
USA|7/28/2016|46776|67|11602
AUT|7/28/2016|54459|68|11602
IND|7/28/2016|53944|69|11602
INA|7/28/2016|66990|70|11602
TPE|7/28/2016|91665|71|11602
IRL|7/28/2016|15241|72|11602
UKR|7/28/2016|20301|73|11602
KOR|7/28/2016|68718|74|11602
CAN|7/28/2016|42227|75|11602
IND|7/28/2016|51598|76|11602
RSA|7/28/2016|38907|77|11602
THA|7/28/2016|29449|78|11602
MAS|7/28/2016|87117|79|11602
FRA|7/28/2016|38500|80|11602
CZE|7/28/2016|15585|81|11602
UKR|7/28/2016|54439|82|11602
CZE|7/28/2016|95385|83|11602
FIN|7/28/2016|15453|84|11602
MEX|7/28/2016|96461|85|11602
IND|7/28/2016|85472|86|11602
ITA|7/28/2016|54234|87|11602
UGA|7/28/2016|52645|88|11602
DEN|7/28/2016|96545|89|11602
AUT|7/28/2016|56274|90|11602
DEN|7/28/2016|53825|91|11602
INA|7/28/2016|61797|92|11602
FIN|7/28/2016|54484|93|11602
SRI|7/28/2016|14004|94|11602
IND|7/28/2016|32722|95|11602
MEX|7/28/2016|93101|96|11602
NOR|7/28/2016|20711|97|11602
LTU|7/28/2016|13460|98|11602
CHN|7/28/2016|58500|99|11602
ENG|7/28/2016|88523|100|11602
USA|7/28/2016|60178|101|11602
THA|7/28/2016|80800|102|11602
ITA|7/28/2016|15286|103|11602
JPN|7/28/2016|61799|104|11602
SWE|7/28/2016|67656|105|11602
DEN|7/28/2016|51053|106|11602
SCO|7/28/2016|54204|107|11602
GER|7/28/2016|51886|108|11602
JPN|7/28/2016|76185|109|11602
NED|7/28/2016|48202|110|11602
BEL|7/28/2016|25625|111|11602
SGP|7/28/2016|76115|112|11602
POL|7/28/2016|53381|113|11602
MEX|7/28/2016|97943|114|11602
INA|7/28/2016|77437|115|11602
INA|7/28/2016|86149|116|11602
IND|7/28/2016|60967|117|11602
IND|7/28/2016|95512|118|11602
INA|7/28/2016|68647|118|11602
NED|7/28/2016|88679|120|11602
FIN|7/28/2016|92655|121|11602
SUI|7/28/2016|53872|122|11602
CHN|7/28/2016|83303|123|11602
INA|7/28/2016|67795|124|11602
SRI|7/28/2016|52229|125|11602
FIN|7/28/2016|42726|126|11602
CRO|7/28/2016|52250|127|11602
SUI|7/28/2016|10565|128|11602
IND|7/28/2016|25925|129|11602
BRA|7/28/2016|73532|130|11602
MAS|7/28/2016|52867|131|11602
GER|7/28/2016|20808|132|11602
MAS|7/28/2016|52864|133|11602
ESP|7/28/2016|54432|134|11602
BUL|7/28/2016|15085|135|11602
INA|7/28/2016|51599|136|11602
ENG|7/28/2016|90842|137|11602
MAS|7/28/2016|73534|138|11602
MAS|7/28/2016|79695|139|11602
AUS|7/28/2016|20295|140|11602
IND|7/28/2016|60649|141|11602
BRA|7/28/2016|62506|142|11602
MAS|7/28/2016|53131|143|11602
FIN|7/28/2016|88856|144|11602
UKR|7/28/2016|52290|145|11602
DEN|7/28/2016|37669|146|11602
SLO|7/28/2016|79391|147|11602
ENG|7/28/2016|64936|148|11602
SWE|7/28/2016|85430|149|11602
INA|7/28/2016|32326|150|11602
ITA|7/28/2016|54314|151|11602
TUR|7/28/2016|95196|152|11602
MAS|7/28/2016|93857|153|11602
GER|7/28/2016|77085|154|11602
AUS|7/28/2016|58754|155|11602
INA|7/28/2016|60413|156|11602
AUS|7/28/2016|64561|157|11602
INA|7/28/2016|99280|158|11602
SVK|7/28/2016|50266|159|11602
INA|7/28/2016|69546|160|11602
TPE|7/28/2016|67096|161|11602
AUS|7/28/2016|86104|162|11602
NED|7/28/2016|76973|163|11602
TPE|7/28/2016|57555|164|11602
TPE|7/28/2016|72027|165|11602
TPE|7/28/2016|77848|166|11602
MAS|7/28/2016|64155|167|11602
FIN|7/28/2016|83131|168|11602
DEN|7/28/2016|81860|169|11602
EGY|7/28/2016|80660|170|11602
IRI|7/28/2016|24470|171|11602
KOR|7/28/2016|66513|172|11602
IND|7/28/2016|83243|173|11602
ENG|7/28/2016|79109|174|11602
THA|7/28/2016|92508|175|11602
RUS|7/28/2016|93878|176|11602
INA|7/28/2016|52738|177|11602
INA|7/28/2016|57083|178|11602
IND|7/28/2016|82670|179|11602
SVK|7/28/2016|55330|180|11602
CHN|7/28/2016|98574|181|11602
TPE|7/28/2016|69537|182|11602
IND|7/28/2016|95489|183|11602
RUS|7/28/2016|60783|184|11602
HKG|7/28/2016|94780|185|11602
TPE|7/28/2016|91254|186|11602
JAM|7/28/2016|29498|187|11602
UZB|7/28/2016|93127|188|11602
DEN|7/28/2016|59420|189|11602
FIN|7/28/2016|62470|190|11602
THA|7/28/2016|70388|191|11602
SCO|7/28/2016|62711|192|11602
TPE|7/28/2016|39748|193|11602
INA|7/28/2016|85956|194|11602
THA|7/28/2016|46874|195|11602
TPE|7/28/2016|90800|196|11602
TPE|7/28/2016|59322|197|11602
MEX|7/28/2016|66431|198|11602
GER|7/28/2016|84815|199|11602
IRL|7/28/2016|59068|200|11602
POL|7/28/2016|37432|201|11602
ISL|7/28/2016|98118|202|11602
SCO|7/28/2016|13641|203|11602
CZE|7/28/2016|91381|204|11602
