country|date|pid|rank|week
CHN|3/10/2016|75787|1|10840
MAS|3/10/2016|50152|2|10840
JPN|3/10/2016|89785|3|10840
CHN|3/10/2016|50906|4|10840
DEN|3/10/2016|54431|5|10840
DEN|3/10/2016|25831|6|10840
TPE|3/10/2016|34810|7|10840
CHN|3/10/2016|12903|8|10840
INA|3/10/2016|14587|9|10840
IND|3/10/2016|93627|10|10840
CHN|3/10/2016|23736|11|10840
HKG|3/10/2016|14869|12|10840
KOR|3/10/2016|54346|13|10840
KOR|3/10/2016|11704|14|10840
HKG|3/10/2016|53054|15|10840
HKG|3/10/2016|45171|16|10840
IND|3/10/2016|53944|17|10840
ENG|3/10/2016|51613|18|10840
GER|3/10/2016|50858|19|10840
JPN|3/10/2016|50905|20|10840
IND|3/10/2016|55351|21|10840
KOR|3/10/2016|64933|22|10840
TPE|3/10/2016|67100|23|10840
IND|3/10/2016|83950|24|10840
THA|3/10/2016|11959|25|10840
CHN|3/10/2016|75787|1|10840
MAS|3/10/2016|50152|2|10840
JPN|3/10/2016|89785|3|10840
CHN|3/10/2016|50906|4|10840
DEN|3/10/2016|54431|5|10840
DEN|3/10/2016|25831|6|10840
TPE|3/10/2016|34810|7|10840
CHN|3/10/2016|12903|8|10840
INA|3/10/2016|14587|9|10840
IND|3/10/2016|93627|10|10840
CHN|3/10/2016|23736|11|10840
HKG|3/10/2016|14869|12|10840
KOR|3/10/2016|54346|13|10840
KOR|3/10/2016|11704|14|10840
HKG|3/10/2016|53054|15|10840
HKG|3/10/2016|45171|16|10840
IND|3/10/2016|53944|17|10840
ENG|3/10/2016|51613|18|10840
GER|3/10/2016|50858|19|10840
JPN|3/10/2016|50905|20|10840
IND|3/10/2016|55351|21|10840
KOR|3/10/2016|64933|22|10840
TPE|3/10/2016|67100|23|10840
IND|3/10/2016|83950|24|10840
THA|3/10/2016|11959|25|10840
DEN|3/10/2016|53753|26|10840
KOR|3/10/2016|65580|27|10840
INA|3/10/2016|66990|28|10840
HKG|3/10/2016|55280|29|10840
CHN|3/10/2016|78769|30|10840
INA|3/10/2016|74154|31|10840
INA|3/10/2016|95661|32|10840
JPN|3/10/2016|47181|33|10840
THA|3/10/2016|54513|34|10840
INA|3/10/2016|73442|35|10840
FRA|3/10/2016|52968|36|10840
IND|3/10/2016|42776|37|10840
ESP|3/10/2016|14251|38|10840
MAS|3/10/2016|89511|39|10840
MAS|3/10/2016|31871|40|10840
VIE|3/10/2016|14107|41|10840
IND|3/10/2016|77003|42|10840
EST|3/10/2016|51531|43|10840
JPN|3/10/2016|85394|44|10840
GUA|3/10/2016|54897|45|10840
MAS|3/10/2016|52030|46|10840
RUS|3/10/2016|51682|47|10840
DEN|3/10/2016|83122|48|10840
CHN|3/10/2016|78828|49|10840
IRL|3/10/2016|15241|50|10840
CHN|3/10/2016|71261|51|10840
SGP|3/10/2016|52701|52|10840
TPE|3/10/2016|87375|53|10840
IND|3/10/2016|32722|54|10840
DEN|3/10/2016|91554|55|10840
BEL|3/10/2016|51690|56|10840
UKR|3/10/2016|54439|57|10840
CUB|3/10/2016|52364|58|10840
MAS|3/10/2016|76106|59|10840
MAS|3/10/2016|92593|60|10840
INA|3/10/2016|50427|61|10840
ISR|3/10/2016|52953|62|10840
JPN|3/10/2016|63707|63|10840
USA|3/10/2016|46776|64|10840
CHN|3/10/2016|57945|65|10840
UKR|3/10/2016|20301|66|10840
FRA|3/10/2016|38500|67|10840
SWE|3/10/2016|52325|68|10840
IND|3/10/2016|51598|69|10840
BRA|3/10/2016|96429|70|10840
POL|3/10/2016|48962|71|10840
JPN|3/10/2016|91280|72|10840
AUT|3/10/2016|54459|73|10840
AUT|3/10/2016|56274|74|10840
CAN|3/10/2016|42227|75|10840
FIN|3/10/2016|15453|76|10840
DEN|3/10/2016|70937|77|10840
FRA|3/10/2016|89506|78|10840
FRA|3/10/2016|89416|79|10840
CZE|3/10/2016|95385|80|10840
NOR|3/10/2016|20711|81|10840
MAS|3/10/2016|87117|82|10840
KOR|3/10/2016|68718|83|10840
INA|3/10/2016|61797|84|10840
MEX|3/10/2016|96461|85|10840
THA|3/10/2016|29449|86|10840
TPE|3/10/2016|91665|87|10840
CZE|3/10/2016|15585|88|10840
DEN|3/10/2016|51053|89|10840
CHN|3/10/2016|83303|90|10840
INA|3/10/2016|51599|91|10840
UGA|3/10/2016|52645|92|10840
RSA|3/10/2016|38907|93|10840
LTU|3/10/2016|13460|94|10840
ESP|3/10/2016|54432|95|10840
FIN|3/10/2016|54484|96|10840
POR|3/10/2016|57034|97|10840
CHN|3/10/2016|58500|98|10840
MEX|3/10/2016|93101|99|10840
DEN|3/10/2016|53825|100|10840
ENG|3/10/2016|88523|101|10840
ITA|3/10/2016|54234|102|10840
USA|3/10/2016|60178|103|10840
POL|3/10/2016|53381|104|10840
GER|3/10/2016|51886|105|10840
BRA|3/10/2016|62506|106|10840
IND|3/10/2016|85472|107|10840
ITA|3/10/2016|15286|108|10840
THA|3/10/2016|80800|109|10840
NED|3/10/2016|88679|110|10840
JPN|3/10/2016|57823|111|10840
MEX|3/10/2016|97943|112|10840
DEN|3/10/2016|96545|113|10840
BEL|3/10/2016|25625|114|10840
BRA|3/10/2016|73532|115|10840
SWE|3/10/2016|67656|116|10840
INA|3/10/2016|52738|117|10840
INA|3/10/2016|67795|118|10840
SRI|3/10/2016|14004|119|10840
SUI|3/10/2016|53872|120|10840
USA|3/10/2016|74872|121|10840
UKR|3/10/2016|52290|122|10840
CHN|3/10/2016|98574|123|10840
MAS|3/10/2016|53131|124|10840
INA|3/10/2016|99280|125|10840
TUR|3/10/2016|95196|126|10840
NED|3/10/2016|48202|127|10840
SCO|3/10/2016|54204|128|10840
MAS|3/10/2016|52867|129|10840
DEN|3/10/2016|37669|130|10840
INA|3/10/2016|77437|131|10840
FIN|3/10/2016|92655|132|10840
SUI|3/10/2016|10565|133|10840
INA|3/10/2016|60413|134|10840
THA|3/10/2016|66321|135|10840
JPN|3/10/2016|61799|136|10840
DEN|3/10/2016|94321|137|10840
ENG|3/10/2016|64936|138|10840
NED|3/10/2016|76973|139|10840
ENG|3/10/2016|90842|140|10840
IND|3/10/2016|60967|141|10840
MAS|3/10/2016|52864|142|10840
TPE|3/10/2016|91254|143|10840
INA|3/10/2016|81887|144|10840
BUL|3/10/2016|15085|145|10840
AUT|3/10/2016|88065|146|10840
INA|3/10/2016|32326|147|10840
ITA|3/10/2016|54314|148|10840
MAS|3/10/2016|93857|149|10840
THA|3/10/2016|92508|150|10840
RUS|3/10/2016|60783|151|10840
FIN|3/10/2016|42726|152|10840
SWE|3/10/2016|85430|153|10840
CRO|3/10/2016|52250|154|10840
SLO|3/10/2016|79391|155|10840
SGP|3/10/2016|76115|156|10840
IRI|3/10/2016|76170|157|10840
TPE|3/10/2016|57555|158|10840
GER|3/10/2016|20808|159|10840
IRI|3/10/2016|24470|160|10840
UZB|3/10/2016|93127|161|10840
SVK|3/10/2016|55330|162|10840
MAS|3/10/2016|64155|163|10840
TUR|3/10/2016|80148|164|10840
SVK|3/10/2016|50266|165|10840
RUS|3/10/2016|93878|166|10840
INA|3/10/2016|86149|167|10840
GER|3/10/2016|57297|168|10840
EGY|3/10/2016|80660|169|10840
GER|3/10/2016|77085|170|10840
IND|3/10/2016|60649|171|10840
KOR|3/10/2016|66513|172|10840
AUS|3/10/2016|86104|173|10840
IND|3/10/2016|83243|174|10840
DEN|3/10/2016|81860|175|10840
AUT|3/10/2016|78464|176|10840
RSA|3/10/2016|81606|177|10840
INA|3/10/2016|69546|178|10840
SWE|3/10/2016|83985|179|10840
SRI|3/10/2016|52229|180|10840
GUA|3/10/2016|52347|181|10840
ENG|3/10/2016|79109|182|10840
THA|3/10/2016|46874|183|10840
FIN|3/10/2016|83131|184|10840
POL|3/10/2016|37432|185|10840
CAN|3/10/2016|89988|186|10840
TPE|3/10/2016|74445|187|10840
THA|3/10/2016|77315|188|10840
GUA|3/10/2016|23996|189|10840
MEX|3/10/2016|66431|190|10840
MAS|3/10/2016|79695|191|10840
DOM|3/10/2016|15591|192|10840
IND|3/10/2016|95512|193|10840
IND|3/10/2016|82670|194|10840
CHN|3/10/2016|95930|195|10840
TUR|3/10/2016|72548|196|10840
SCO|3/10/2016|13641|197|10840
VIE|3/10/2016|87628|198|10840
TPE|3/10/2016|69537|199|10840
EGY|3/10/2016|55949|200|10840
GER|3/10/2016|58996|201|10840
TPE|3/10/2016|67096|202|10840
THA|3/10/2016|58963|203|10840
GER|3/10/2016|84815|204|10840
KOR|3/10/2016|99672|205|10840
INA|3/10/2016|68647|206|10840
SWE|3/10/2016|76972|207|10840
INA|3/10/2016|83378|208|10840
TPE|3/10/2016|52983|209|10840
IND|3/10/2016|25925|210|10840
HUN|3/10/2016|56755|211|10840
INA|3/10/2016|76618|212|10840
FIN|3/10/2016|62470|213|10840
JPN|3/10/2016|76185|214|10840
TPE|3/10/2016|90800|215|10840
TPE|3/10/2016|91461|216|10840
INA|3/10/2016|64874|217|10840
PER|3/10/2016|54555|218|10840
DOM|3/10/2016|13654|219|10840
JAM|3/10/2016|29498|220|10840
NZL|3/10/2016|82683|221|10840
POL|3/10/2016|80607|222|10840
EGY|3/10/2016|24294|223|10840
DEN|3/10/2016|94838|224|10840
IRL|3/10/2016|59068|225|10840
FIN|3/10/2016|88856|226|10840
ISL|3/10/2016|98118|227|10840
ALG|3/10/2016|98896|228|10840
CZE|3/10/2016|91381|229|10840
USA|3/10/2016|56702|230|10840
IND|3/10/2016|95489|231|10840
CHN|3/10/2016|91093|232|10840
ITA|3/10/2016|88613|233|10840
MAS|3/10/2016|85074|234|10840
IND|3/10/2016|89672|235|10840
HKG|3/10/2016|94780|236|10840
TPE|3/10/2016|77848|237|10840
INA|3/10/2016|62187|238|10840
TPE|3/10/2016|39748|239|10840
INA|3/10/2016|57083|240|10840
TPE|3/10/2016|85790|241|10840
MAS|3/10/2016|11701|242|10840
FRA|3/10/2016|61278|243|10840
NED|3/10/2016|67174|244|10840
INA|3/10/2016|71739|245|10840
NEP|3/10/2016|80608|246|10840
DEN|3/10/2016|59420|247|10840
PER|3/10/2016|13762|248|10840
IND|3/10/2016|75005|249|10840
THA|3/10/2016|70388|250|10840
INA|3/10/2016|55715|251|10840
TUR|3/10/2016|60570|252|10840
GER|3/10/2016|27744|253|10840
MAS|3/10/2016|73534|254|10840
UZB|3/10/2016|88633|255|10840
NGR|3/10/2016|94754|256|10840
MRI|3/10/2016|64839|257|10840
SCO|3/10/2016|62711|258|10840
TPE|3/10/2016|59322|259|10840
INA|3/10/2016|73773|260|10840
ESP|3/10/2016|71221|261|10840
HKG|3/10/2016|51306|262|10840
WAL|3/10/2016|63977|262|10840
CHI|3/10/2016|68245|264|10840
INA|3/10/2016|62455|265|10840
NGR|3/10/2016|44496|266|10840
INA|3/10/2016|65705|267|10840
AUS|3/10/2016|20295|268|10840
AUS|3/10/2016|90603|269|10840
MAS|3/10/2016|95132|270|10840
TTO|3/10/2016|26459|271|10840
AUS|3/10/2016|58754|272|10840
CAN|3/10/2016|91094|273|10840
ENG|3/10/2016|14078|274|10840
JPN|3/10/2016|62063|274|10840
INA|3/10/2016|61065|276|10840
SUI|3/10/2016|82717|277|10840
JPN|3/10/2016|95934|278|10840
FRA|3/10/2016|85196|279|10840
KOR|3/10/2016|82907|280|10840
AUS|3/10/2016|80176|281|10840
CHN|3/10/2016|57762|282|10840
IND|3/10/2016|58670|283|10840
ENG|3/10/2016|93386|284|10840
MRI|3/10/2016|66071|285|10840
EGY|3/10/2016|80259|286|10840
KAZ|3/10/2016|77551|287|10840
MAS|3/10/2016|73950|288|10840
IND|3/10/2016|51310|289|10840
FRA|3/10/2016|88054|290|10840
TPE|3/10/2016|65390|291|10840
NED|3/10/2016|10319|292|10840
IND|3/10/2016|99772|293|10840
KOR|3/10/2016|16714|294|10840
MAS|3/10/2016|52699|295|10840
ENG|3/10/2016|93027|296|10840
FRA|3/10/2016|61628|297|10840
NED|3/10/2016|48766|298|10840
TPE|3/10/2016|76854|299|10840
SCO|3/10/2016|78485|300|10840
TPE|3/10/2016|97114|301|10840
MAS|3/10/2016|95952|301|10840
ALG|3/10/2016|99187|303|10840
ALG|3/10/2016|63846|304|10840
BUL|3/10/2016|98589|305|10840
ITA|3/10/2016|56762|306|10840
MAS|3/10/2016|92796|307|10840
TPE|3/10/2016|72027|308|10840
JPN|3/10/2016|97174|309|10840
CZE|3/10/2016|44932|310|10840
USA|3/10/2016|80787|311|10840
SUI|3/10/2016|54041|312|10840
NZL|3/10/2016|54337|313|10840
SWE|3/10/2016|80036|314|10840
VEN|3/10/2016|82173|315|10840
INA|3/10/2016|58640|316|10840
TPE|3/10/2016|71071|317|10840
SUI|3/10/2016|98222|318|10840
TUR|3/10/2016|52056|319|10840
NGR|3/10/2016|51968|319|10840
MAS|3/10/2016|94306|321|10840
INA|3/10/2016|14553|322|10840
VIE|3/10/2016|54660|323|10840
MAS|3/10/2016|95412|323|10840
SRB|3/10/2016|39443|325|10840
UKR|3/10/2016|82280|326|10840
GER|3/10/2016|60652|327|10840
MAS|3/10/2016|99888|328|10840
VEN|3/10/2016|57478|329|10840
RUS|3/10/2016|53663|330|10840
DEN|3/10/2016|95604|331|10840
CHI|3/10/2016|38221|332|10840
AUS|3/10/2016|64561|333|10840
MAS|3/10/2016|12370|334|10840
MAS|3/10/2016|91090|335|10840
CHN|3/10/2016|97959|336|10840
MAS|3/10/2016|66577|337|10840
GHA|3/10/2016|82852|338|10840
CAN|3/10/2016|61666|339|10840
UKR|3/10/2016|94176|340|10840
IND|3/10/2016|81643|341|10840
INA|3/10/2016|98949|342|10840
