country|date|pid|rank|week
CHN|2/18/2015|75787|1|8440
DEN|2/18/2015|54431|2|8440
MAS|2/18/2015|50152|3|8440
KOR|2/18/2015|54346|4|8440
IND|2/18/2015|93627|5|8440
CHN|2/18/2015|50906|6|8440
TPE|2/18/2015|34810|7|8440
DEN|2/18/2015|53753|8|8440
DEN|2/18/2015|25831|9|8440
CHN|2/18/2015|23736|10|8440
INA|2/18/2015|14587|11|8440
IND|2/18/2015|53944|12|8440
CHN|2/18/2015|12903|13|8440
JPN|2/18/2015|89785|14|8440
HKG|2/18/2015|14869|15|8440
GER|2/18/2015|50858|16|8440
JPN|2/18/2015|50905|17|8440
IND|2/18/2015|83950|18|8440
JPN|2/18/2015|63707|19|8440
THA|2/18/2015|54513|20|8440
KOR|2/18/2015|64933|21|8440
ENG|2/18/2015|51613|22|8440
VIE|2/18/2015|14107|23|8440
HKG|2/18/2015|53054|24|8440
KOR|2/18/2015|11704|25|8440
CHN|2/18/2015|75787|1|8440
DEN|2/18/2015|54431|2|8440
MAS|2/18/2015|50152|3|8440
KOR|2/18/2015|54346|4|8440
IND|2/18/2015|93627|5|8440
CHN|2/18/2015|50906|6|8440
TPE|2/18/2015|34810|7|8440
DEN|2/18/2015|53753|8|8440
DEN|2/18/2015|25831|9|8440
CHN|2/18/2015|23736|10|8440
INA|2/18/2015|14587|11|8440
IND|2/18/2015|53944|12|8440
CHN|2/18/2015|12903|13|8440
JPN|2/18/2015|89785|14|8440
HKG|2/18/2015|14869|15|8440
GER|2/18/2015|50858|16|8440
JPN|2/18/2015|50905|17|8440
IND|2/18/2015|83950|18|8440
JPN|2/18/2015|63707|19|8440
THA|2/18/2015|54513|20|8440
KOR|2/18/2015|64933|21|8440
ENG|2/18/2015|51613|22|8440
VIE|2/18/2015|14107|23|8440
HKG|2/18/2015|53054|24|8440
KOR|2/18/2015|11704|25|8440
JPN|2/18/2015|47181|26|8440
TPE|2/18/2015|67100|27|8440
FRA|2/18/2015|52968|28|8440
HKG|2/18/2015|55280|29|8440
IRL|2/18/2015|15241|30|8440
INA|2/18/2015|66990|31|8440
MAS|2/18/2015|52030|32|8440
HKG|2/18/2015|45171|33|8440
THA|2/18/2015|11959|34|8440
JPN|2/18/2015|61799|35|8440
IND|2/18/2015|42776|36|8440
SGP|2/18/2015|52701|37|8440
INA|2/18/2015|51599|38|8440
TPE|2/18/2015|87375|39|8440
INA|2/18/2015|52738|40|8440
SWE|2/18/2015|52325|41|8440
IND|2/18/2015|51598|42|8440
CUB|2/18/2015|52364|43|8440
DEN|2/18/2015|70937|44|8440
NED|2/18/2015|10319|45|8440
ISR|2/18/2015|52953|46|8440
THA|2/18/2015|46874|47|8440
ESP|2/18/2015|14251|48|8440
IND|2/18/2015|55351|49|8440
DEN|2/18/2015|51053|50|8440
RUS|2/18/2015|51682|51|8440
CZE|2/18/2015|15585|52|8440
FIN|2/18/2015|15453|53|8440
MAS|2/18/2015|53131|54|8440
MAS|2/18/2015|89511|55|8440
USA|2/18/2015|46776|56|8440
DEN|2/18/2015|83122|57|8440
IND|2/18/2015|32722|58|8440
GER|2/18/2015|51886|59|8440
CHN|2/18/2015|93496|60|8440
JPN|2/18/2015|91280|61|8440
MAS|2/18/2015|52867|62|8440
GUA|2/18/2015|54897|63|8440
AUT|2/18/2015|54459|64|8440
AUT|2/18/2015|56274|65|8440
IND|2/18/2015|25925|66|8440
USA|2/18/2015|74872|67|8440
FRA|2/18/2015|89416|68|8440
USA|2/18/2015|60178|69|8440
CHN|2/18/2015|78769|70|8440
POL|2/18/2015|48962|71|8440
RUS|2/18/2015|53924|72|8440
CHN|2/18/2015|42369|73|8440
BRA|2/18/2015|62506|74|8440
MAS|2/18/2015|52864|75|8440
CHN|2/18/2015|55380|76|8440
EST|2/18/2015|51531|77|8440
FRA|2/18/2015|38500|78|8440
IND|2/18/2015|15319|79|8440
CZE|2/18/2015|95385|80|8440
UKR|2/18/2015|54439|81|8440
INA|2/18/2015|86149|82|8440
INA|2/18/2015|73442|83|8440
LTU|2/18/2015|13460|84|8440
BEL|2/18/2015|51690|85|8440
SUI|2/18/2015|10565|86|8440
