country|date|pid|rank|week
KOR|6/29/2017|54346|1|13793
MAS|6/29/2017|50152|2|13793
DEN|6/29/2017|25831|3|13793
CHN|6/29/2017|57945|4|13793
CHN|6/29/2017|75787|5|13793
TPE|6/29/2017|34810|6|13793
CHN|6/29/2017|50906|7|13793
IND|6/29/2017|93627|8|13793
HKG|6/29/2017|45171|9|13793
DEN|6/29/2017|54431|10|13793
KOR|6/29/2017|11704|11|13793
CHN|6/29/2017|12903|12|13793
THA|6/29/2017|54513|13|13793
HKG|6/29/2017|55280|14|13793
IND|6/29/2017|42776|15|13793
IND|6/29/2017|55351|16|13793
CHN|6/29/2017|78828|17|13793
TPE|6/29/2017|87375|18|13793
DEN|6/29/2017|91554|19|13793
ENG|6/29/2017|51613|20|13793
GER|6/29/2017|50858|21|13793
INA|6/29/2017|73442|22|13793
IND|6/29/2017|83950|23|13793
HKG|6/29/2017|14869|24|13793
CHN|6/29/2017|71261|25|13793
KOR|6/29/2017|54346|1|13793
MAS|6/29/2017|50152|2|13793
DEN|6/29/2017|25831|3|13793
CHN|6/29/2017|57945|4|13793
CHN|6/29/2017|75787|5|13793
TPE|6/29/2017|34810|6|13793
CHN|6/29/2017|50906|7|13793
IND|6/29/2017|93627|8|13793
HKG|6/29/2017|45171|9|13793
DEN|6/29/2017|54431|10|13793
KOR|6/29/2017|11704|11|13793
CHN|6/29/2017|12903|12|13793
THA|6/29/2017|54513|13|13793
HKG|6/29/2017|55280|14|13793
IND|6/29/2017|42776|15|13793
IND|6/29/2017|55351|16|13793
CHN|6/29/2017|78828|17|13793
TPE|6/29/2017|87375|18|13793
DEN|6/29/2017|91554|19|13793
ENG|6/29/2017|51613|20|13793
GER|6/29/2017|50858|21|13793
INA|6/29/2017|73442|22|13793
IND|6/29/2017|83950|23|13793
HKG|6/29/2017|14869|24|13793
CHN|6/29/2017|71261|25|13793
INA|6/29/2017|95661|26|13793
DEN|6/29/2017|53753|27|13793
FRA|6/29/2017|52968|28|13793
INA|6/29/2017|14587|29|13793
TPE|6/29/2017|67100|30|13793
MAS|6/29/2017|89511|31|13793
JPN|6/29/2017|91280|32|13793
IND|6/29/2017|77003|33|13793
CHN|6/29/2017|95930|34|13793
IND|6/29/2017|25925|35|13793
GER|6/29/2017|57297|36|13793
JPN|6/29/2017|57823|37|13793
ESP|6/29/2017|14251|38|13793
DEN|6/29/2017|83122|39|13793
MAS|6/29/2017|52030|40|13793
THA|6/29/2017|29449|41|13793
HKG|6/29/2017|53054|42|13793
BRA|6/29/2017|96429|43|13793
MAS|6/29/2017|31871|44|13793
TPE|6/29/2017|91665|45|13793
INA|6/29/2017|74154|46|13793
KOR|6/29/2017|64933|47|13793
ISR|6/29/2017|52953|48|13793
EST|6/29/2017|51531|49|13793
KOR|6/29/2017|65580|50|13793
JPN|6/29/2017|47181|51|13793
TPE|6/29/2017|52983|52|13793
SWE|6/29/2017|52325|53|13793
DEN|6/29/2017|96545|54|13793
NED|6/29/2017|76973|55|13793
FRA|6/29/2017|89416|56|13793
INA|6/29/2017|50427|57|13793
MAS|6/29/2017|52864|58|13793
RUS|6/29/2017|51682|59|13793
IND|6/29/2017|53944|60|13793
FRA|6/29/2017|89506|61|13793
THA|6/29/2017|80800|62|13793
THA|6/29/2017|46874|63|13793
MAS|6/29/2017|87117|64|13793
INA|6/29/2017|77437|65|13793
IND|6/29/2017|95512|66|13793
VIE|6/29/2017|14107|67|13793
DEN|6/29/2017|62855|68|13793
SRI|6/29/2017|14004|69|13793
SCO|6/29/2017|54204|70|13793
HKG|6/29/2017|94780|71|13793
INA|6/29/2017|85956|72|13793
IND|6/29/2017|60967|73|13793
FIN|6/29/2017|92655|74|13793
GER|6/29/2017|20808|75|13793
JPN|6/29/2017|64179|76|13793
RUS|6/29/2017|93878|77|13793
ENG|6/29/2017|88523|78|13793
JPN|6/29/2017|61799|79|13793
IND|6/29/2017|68139|80|13793
UKR|6/29/2017|20301|81|13793
JPN|6/29/2017|85394|82|13793
CZE|6/29/2017|95385|83|13793
MAS|6/29/2017|73534|84|13793
INA|6/29/2017|81887|85|13793
IND|6/29/2017|51598|86|13793
ITA|6/29/2017|15286|87|13793
ENG|6/29/2017|90842|88|13793
IND|6/29/2017|95489|89|13793
RUS|6/29/2017|60783|90|13793
DEN|6/29/2017|59420|91|13793
BEL|6/29/2017|25625|92|13793
FIN|6/29/2017|54484|93|13793
INA|6/29/2017|61797|94|13793
NED|6/29/2017|88679|95|13793
IND|6/29/2017|85472|96|13793
THA|6/29/2017|92508|97|13793
IND|6/29/2017|60649|98|13793
AUT|6/29/2017|56274|99|13793
THA|6/29/2017|11959|100|13793
TPE|6/29/2017|91461|101|13793
KOR|6/29/2017|68718|102|13793
NED|6/29/2017|48202|103|13793
INA|6/29/2017|86149|104|13793
CRO|6/29/2017|52250|105|13793
JPN|6/29/2017|97174|106|13793
USA|6/29/2017|60178|107|13793
IND|6/29/2017|83243|108|13793
MAS|6/29/2017|81561|109|13793
IRL|6/29/2017|15241|110|13793
TPE|6/29/2017|67096|111|13793
FRA|6/29/2017|38500|112|13793
JPN|6/29/2017|76185|113|13793
MAS|6/29/2017|94306|114|13793
MAS|6/29/2017|52867|115|13793
CZE|6/29/2017|91381|116|13793
RSA|6/29/2017|38907|117|13793
INA|6/29/2017|55715|118|13793
TPE|6/29/2017|91254|119|13793
MAS|6/29/2017|93857|120|13793
ESP|6/29/2017|71221|121|13793
SCO|6/29/2017|62711|122|13793
