country|date|pid|rank|week
CHN|2/11/2016|75787|1|10658
MAS|2/11/2016|50152|2|10658
DEN|2/11/2016|54431|3|10658
JPN|2/11/2016|89785|4|10658
CHN|2/11/2016|50906|5|10658
DEN|2/11/2016|25831|6|10658
TPE|2/11/2016|34810|7|10658
CHN|2/11/2016|12903|8|10658
IND|2/11/2016|93627|9|10658
INA|2/11/2016|14587|10|10658
CHN|2/11/2016|23736|11|10658
KOR|2/11/2016|54346|12|10658
HKG|2/11/2016|14869|13|10658
HKG|2/11/2016|53054|14|10658
IND|2/11/2016|53944|15|10658
HKG|2/11/2016|45171|16|10658
ENG|2/11/2016|51613|17|10658
GER|2/11/2016|50858|18|10658
KOR|2/11/2016|11704|19|10658
INA|2/11/2016|66990|20|10658
KOR|2/11/2016|64933|21|10658
JPN|2/11/2016|50905|22|10658
TPE|2/11/2016|67100|23|10658
THA|2/11/2016|11959|24|10658
IND|2/11/2016|55351|25|10658
CHN|2/11/2016|75787|1|10658
MAS|2/11/2016|50152|2|10658
DEN|2/11/2016|54431|3|10658
JPN|2/11/2016|89785|4|10658
CHN|2/11/2016|50906|5|10658
DEN|2/11/2016|25831|6|10658
TPE|2/11/2016|34810|7|10658
CHN|2/11/2016|12903|8|10658
IND|2/11/2016|93627|9|10658
INA|2/11/2016|14587|10|10658
CHN|2/11/2016|23736|11|10658
KOR|2/11/2016|54346|12|10658
HKG|2/11/2016|14869|13|10658
HKG|2/11/2016|53054|14|10658
IND|2/11/2016|53944|15|10658
HKG|2/11/2016|45171|16|10658
ENG|2/11/2016|51613|17|10658
GER|2/11/2016|50858|18|10658
KOR|2/11/2016|11704|19|10658
INA|2/11/2016|66990|20|10658
KOR|2/11/2016|64933|21|10658
JPN|2/11/2016|50905|22|10658
TPE|2/11/2016|67100|23|10658
THA|2/11/2016|11959|24|10658
IND|2/11/2016|55351|25|10658
DEN|2/11/2016|53753|26|10658
IND|2/11/2016|83950|27|10658
HKG|2/11/2016|55280|28|10658
CHN|2/11/2016|78769|29|10658
KOR|2/11/2016|65580|30|10658
JPN|2/11/2016|47181|31|10658
INA|2/11/2016|74154|32|10658
INA|2/11/2016|95661|33|10658
FRA|2/11/2016|52968|34|10658
INA|2/11/2016|73442|35|10658
THA|2/11/2016|54513|36|10658
IND|2/11/2016|42776|37|10658
MAS|2/11/2016|89511|38|10658
MAS|2/11/2016|31871|39|10658
ESP|2/11/2016|14251|40|10658
VIE|2/11/2016|14107|41|10658
MAS|2/11/2016|52030|42|10658
GUA|2/11/2016|54897|43|10658
IND|2/11/2016|77003|44|10658
EST|2/11/2016|51531|45|10658
JPN|2/11/2016|85394|46|10658
MAS|2/11/2016|92593|47|10658
IRL|2/11/2016|15241|48|10658
SGP|2/11/2016|52701|49|10658
RUS|2/11/2016|51682|50|10658
CHN|2/11/2016|71261|51|10658
IND|2/11/2016|32722|52|10658
JPN|2/11/2016|91280|53|10658
DEN|2/11/2016|83122|54|10658
TPE|2/11/2016|87375|55|10658
CHN|2/11/2016|78828|56|10658
CUB|2/11/2016|52364|57|10658
BEL|2/11/2016|51690|58|10658
FRA|2/11/2016|38500|59|10658
AUT|2/11/2016|54459|60|10658
ISR|2/11/2016|52953|61|10658
JPN|2/11/2016|63707|62|10658
UKR|2/11/2016|54439|63|10658
USA|2/11/2016|46776|64|10658
MAS|2/11/2016|76106|65|10658
INA|2/11/2016|50427|66|10658
POL|2/11/2016|48962|67|10658
IND|2/11/2016|51598|68|10658
BRA|2/11/2016|96429|69|10658
AUT|2/11/2016|56274|70|10658
CZE|2/11/2016|95385|71|10658
SWE|2/11/2016|52325|72|10658
UKR|2/11/2016|20301|73|10658
FRA|2/11/2016|89416|74|10658
DEN|2/11/2016|70937|75|10658
CHN|2/11/2016|57945|76|10658
CAN|2/11/2016|42227|77|10658
FIN|2/11/2016|15453|78|10658
MAS|2/11/2016|87117|79|10658
INA|2/11/2016|61797|80|10658
DEN|2/11/2016|51053|81|10658
FRA|2/11/2016|89506|81|10658
CZE|2/11/2016|15585|83|10658
RSA|2/11/2016|38907|84|10658
