country|date|pid|rank|week
CHN|4/28/2016|75787|1|11121
MAS|4/28/2016|50152|2|11121
CHN|4/28/2016|50906|3|11121
DEN|4/28/2016|25831|4|11121
DEN|4/28/2016|54431|5|11121
CHN|4/28/2016|12903|6|11121
TPE|4/28/2016|34810|7|11121
INA|4/28/2016|14587|8|11121
KOR|4/28/2016|54346|9|11121
HKG|4/28/2016|45171|10|11121
IND|4/28/2016|93627|11|11121
GER|4/28/2016|50858|12|11121
CHN|4/28/2016|23736|13|11121
HKG|4/28/2016|14869|14|11121
DEN|4/28/2016|53753|15|11121
ENG|4/28/2016|51613|16|11121
HKG|4/28/2016|53054|17|11121
KOR|4/28/2016|64933|18|11121
JPN|4/28/2016|50905|19|11121
IND|4/28/2016|55351|20|11121
INA|4/28/2016|73442|21|11121
THA|4/28/2016|11959|22|11121
INA|4/28/2016|95661|23|11121
IND|4/28/2016|53944|24|11121
TPE|4/28/2016|67100|25|11121
CHN|4/28/2016|75787|1|11121
MAS|4/28/2016|50152|2|11121
CHN|4/28/2016|50906|3|11121
DEN|4/28/2016|25831|4|11121
DEN|4/28/2016|54431|5|11121
CHN|4/28/2016|12903|6|11121
TPE|4/28/2016|34810|7|11121
INA|4/28/2016|14587|8|11121
KOR|4/28/2016|54346|9|11121
HKG|4/28/2016|45171|10|11121
IND|4/28/2016|93627|11|11121
GER|4/28/2016|50858|12|11121
CHN|4/28/2016|23736|13|11121
HKG|4/28/2016|14869|14|11121
DEN|4/28/2016|53753|15|11121
ENG|4/28/2016|51613|16|11121
HKG|4/28/2016|53054|17|11121
KOR|4/28/2016|64933|18|11121
JPN|4/28/2016|50905|19|11121
IND|4/28/2016|55351|20|11121
INA|4/28/2016|73442|21|11121
THA|4/28/2016|11959|22|11121
INA|4/28/2016|95661|23|11121
IND|4/28/2016|53944|24|11121
TPE|4/28/2016|67100|25|11121
HKG|4/28/2016|55280|26|11121
IND|4/28/2016|83950|27|11121
THA|4/28/2016|54513|28|11121
KOR|4/28/2016|65580|29|11121
KOR|4/28/2016|11704|30|11121
INA|4/28/2016|74154|31|11121
CHN|4/28/2016|78769|32|11121
VIE|4/28/2016|14107|33|11121
IND|4/28/2016|42776|34|11121
MAS|4/28/2016|31871|35|11121
INA|4/28/2016|50427|36|11121
ESP|4/28/2016|14251|37|11121
IND|4/28/2016|77003|38|11121
INA|4/28/2016|66990|39|11121
MAS|4/28/2016|89511|40|11121
EST|4/28/2016|51531|41|11121
JPN|4/28/2016|85394|42|11121
FRA|4/28/2016|52968|43|11121
JPN|4/28/2016|47181|44|11121
CHN|4/28/2016|57945|45|11121
DEN|4/28/2016|83122|46|11121
GUA|4/28/2016|54897|47|11121
TPE|4/28/2016|87375|48|11121
MAS|4/28/2016|52030|49|11121
MAS|4/28/2016|76106|50|11121
RUS|4/28/2016|51682|51|11121
SWE|4/28/2016|52325|52|11121
CHN|4/28/2016|78828|53|11121
CHN|4/28/2016|71261|54|11121
DEN|4/28/2016|91554|55|11121
MAS|4/28/2016|92593|56|11121
POL|4/28/2016|48962|57|11121
CUB|4/28/2016|52364|58|11121
BEL|4/28/2016|51690|59|11121
ISR|4/28/2016|52953|60|11121
IRL|4/28/2016|15241|61|11121
UKR|4/28/2016|20301|62|11121
BRA|4/28/2016|96429|63|11121
USA|4/28/2016|46776|64|11121
POR|4/28/2016|57034|65|11121
DEN|4/28/2016|70937|66|11121
SGP|4/28/2016|52701|67|11121
AUT|4/28/2016|54459|68|11121
FRA|4/28/2016|38500|69|11121
CAN|4/28/2016|42227|70|11121
UKR|4/28/2016|54439|71|11121
MEX|4/28/2016|96461|72|11121
FIN|4/28/2016|15453|73|11121
CZE|4/28/2016|95385|74|11121
AUT|4/28/2016|56274|75|11121
JPN|4/28/2016|57823|76|11121
RSA|4/28/2016|38907|77|11121
MAS|4/28/2016|87117|78|11121
CZE|4/28/2016|15585|79|11121
IND|4/28/2016|51598|80|11121
JPN|4/28/2016|91280|81|11121
FRA|4/28/2016|89506|82|11121
KOR|4/28/2016|68718|83|11121
FRA|4/28/2016|89416|84|11121
