country|date|pid|rank|week
JPN|11/15/2018|157159|1|19330
CHN|11/15/2018|990139|2|19330
TPE|11/15/2018|109227|3|19330
DEN|11/15/2018|147387|4|19330
CHN|11/15/2018|108456|5|19330
KOR|11/15/2018|108069|6|19330
INA|11/15/2018|389169|7|19330
IND|11/15/2018|216143|8|19330
MAS|11/15/2018|107832|9|19330
INA|11/15/2018|108457|10|19330
JPN|11/15/2018|239769|11|19330
INA|11/15/2018|409860|12|19330
CHN|11/15/2018|109370|13|19330
HKG|11/15/2018|109501|14|19330
THA|11/15/2018|109388|15|19330
DEN|11/15/2018|396249|16|19330
THA|11/15/2018|409866|17|19330
IND|11/15/2018|216144|18|19330
JPN|11/15/2018|391571|19|19330
DEN|11/15/2018|396247|20|19330
THA|11/15/2018|109371|21|19330
KOR|11/15/2018|108082|22|19330
IND|11/15/2018|161366|23|19330
MAS|11/15/2018|107837|24|19330
CHN|11/15/2018|195641|25|19330
IND|11/15/2018|108469|26|19330
DEN|11/15/2018|108272|27|19330
DEN|11/15/2018|108276|28|19330
JPN|11/15/2018|239514|29|19330
FRA|11/15/2018|108274|30|19330
TPE|11/15/2018|239492|31|19330
KOR|11/15/2018|116149|32|19330
NED|11/15/2018|315261|33|19330
HKG|11/15/2018|108463|34|19330
ENG|11/15/2018|108290|35|19330
CHN|11/15/2018|1928758|36|19330
TPE|11/15/2018|109374|37|19330
INA|11/15/2018|195648|38|19330
JPN|11/15/2018|314842|39|19330
FRA|11/15/2018|197408|40|19330
MAS|11/15/2018|107859|41|19330
BRA|11/15/2018|199925|42|19330
ENG|11/15/2018|157020|43|19330
ISR|11/15/2018|108120|44|19330
THA|11/15/2018|117986|45|19330
KOR|11/15/2018|284015|46|19330
HKG|11/15/2018|279226|47|19330
CHN|11/15/2018|868322|48|19330
IND|11/15/2018|108863|49|19330
IND|11/15/2018|108876|50|19330
IND|11/15/2018|107852|51|19330
VIE|11/15/2018|107840|52|19330
THA|11/15/2018|107873|53|19330
IND|11/15/2018|286558|54|19330
ESP|11/15/2018|113583|55|19330
INA|11/15/2018|468287|56|19330
DEN|11/15/2018|243697|57|19330
MAS|11/15/2018|318753|58|19330
INA|11/15/2018|107839|59|19330
FRA|11/15/2018|674117|60|19330
CHN|11/15/2018|143771|61|19330
HKG|11/15/2018|108471|62|19330
RUS|11/15/2018|108128|63|19330
JPN|11/15/2018|109547|64|19330
FRA|11/15/2018|113724|65|19330
CHN|11/15/2018|1026182|66|19330
TPE|11/15/2018|165523|67|19330
INA|11/15/2018|468392|68|19330
INA|11/15/2018|146440|69|19330
KOR|11/15/2018|387378|70|19330
CAN|11/15/2018|1121769|71|19330
TPE|11/15/2018|347689|72|19330
MAS|11/15/2018|107993|73|19330
IND|11/15/2018|108460|74|19330
MAS|11/15/2018|669250|75|19330
FRA|11/15/2018|116891|76|19330
MAS|11/15/2018|168997|77|19330
DEN|11/15/2018|206076|78|19330
RUS|11/15/2018|144219|79|19330
GER|11/15/2018|108878|80|19330
VIE|11/15/2018|199895|81|19330
EST|11/15/2018|108118|82|19330
MAS|11/15/2018|243527|83|19330
FIN|11/15/2018|216637|84|19330
ESP|11/15/2018|1060823|85|19330
DEN|11/15/2018|194165|86|19330
ENG|11/15/2018|283430|87|19330
THA|11/15/2018|280244|88|19330
IND|11/15/2018|656879|89|19330
IND|11/15/2018|646810|90|19330
MRI|11/15/2018|252669|91|19330
DEN|11/15/2018|243698|92|19330
IRL|11/15/2018|664701|93|19330
SWE|11/15/2018|283428|94|19330
SRI|11/15/2018|109243|95|19330
BEL|11/15/2018|113602|96|19330
CAN|11/15/2018|2855841|97|19330
AZE|11/15/2018|656056|98|19330
INA|11/15/2018|656114|99|19330
IND|11/15/2018|351015|100|19330
